,activation_0,activation_1,activation_2,dist,id,vel
25,"[  55.65918732   32.44347763   98.78077698   46.08933258  182.26861572
   69.20062256   47.99435043  114.85012817  282.22994995  309.22140503]","[ 2.49215603  0.72775006  8.6645813   3.23662496  2.02430439  0.69398677
  7.10944605  0.7580781   5.87772179  5.14111042]","[ 143.16140747   48.09141159  237.29864502  189.41575623  151.08100891
  177.41938782  268.14706421  192.95883179  230.21202087  174.46153259]",21.1794490814,0,2.0
26,"[  32.44347763   98.78077698   46.08933258  182.26861572   69.20062256
   47.99435043  114.85012817  282.22994995  309.22140503   83.37071228]","[  0.72775006   8.6645813    3.23662496   2.02430439   0.69398677
   7.10944605   0.7580781    5.87772179   5.14111042  12.4238205 ]","[  48.09141159  237.29864502  189.41575623  151.08100891  177.41938782
  268.14706421  192.95883179  230.21202087  174.46153259  276.17550659]",20.9820690155,0,2.0
27,"[  98.78077698   46.08933258  182.26861572   69.20062256   47.99435043
  114.85012817  282.22994995  309.22140503   83.37071228   81.90908051]","[  8.6645813    3.23662496   2.02430439   0.69398677   7.10944605
   0.7580781    5.87772179   5.14111042  12.4238205    6.54206371]","[ 237.29864502  189.41575623  151.08100891  177.41938782  268.14706421
  192.95883179  230.21202087  174.46153259  276.17550659  204.80458069]",20.7839431763,0,2.0
28,"[  46.08933258  182.26861572   69.20062256   47.99435043  114.85012817
  282.22994995  309.22140503   83.37071228   81.90908051   57.47605515]","[  3.23662496   2.02430439   0.69398677   7.10944605   0.7580781
   5.87772179   5.14111042  12.4238205    6.54206371   1.61365473]","[ 189.41575623  151.08100891  177.41938782  268.14706421  192.95883179
  230.21202087  174.46153259  276.17550659  204.80458069   43.26223755]",20.5848255157,0,2.0
29,"[ 182.26861572   69.20062256   47.99435043  114.85012817  282.22994995
  309.22140503   83.37071228   81.90908051   57.47605515  197.14399719]","[  2.02430439   0.69398677   7.10944605   0.7580781    5.87772179
   5.14111042  12.4238205    6.54206371   1.61365473  17.52445221]","[ 151.08100891  177.41938782  268.14706421  192.95883179  230.21202087
  174.46153259  276.17550659  204.80458069   43.26223755  118.08582306]",20.3852767944,0,2.0
30,"[  69.20062256   47.99435043  114.85012817  282.22994995  309.22140503
   83.37071228   81.90908051   57.47605515  197.14399719  159.03190613]","[  0.69398677   7.10944605   0.7580781    5.87772179   5.14111042
  12.4238205    6.54206371   1.61365473  17.52445221   4.69141483]","[ 177.41938782  268.14706421  192.95883179  230.21202087  174.46153259
  276.17550659  204.80458069   43.26223755  118.08582306  116.42985535]",20.1852912903,0,2.0
31,"[  47.99435043  114.85012817  282.22994995  309.22140503   83.37071228
   81.90908051   57.47605515  197.14399719  159.03190613  239.82365417]","[  7.10944605   0.7580781    5.87772179   5.14111042  12.4238205
   6.54206371   1.61365473  17.52445221   4.69141483   5.27519417]","[ 268.14706421  192.95883179  230.21202087  174.46153259  276.17550659
  204.80458069   43.26223755  118.08582306  116.42985535  265.49023438]",19.9845638275,0,2.0
32,"[ 114.85012817  282.22994995  309.22140503   83.37071228   81.90908051
   57.47605515  197.14399719  159.03190613  239.82365417   59.26770782]","[  0.7580781    5.87772179   5.14111042  12.4238205    6.54206371
   1.61365473  17.52445221   4.69141483   5.27519417   0.14655064]","[ 192.95883179  230.21202087  174.46153259  276.17550659  204.80458069
   43.26223755  118.08582306  116.42985535  265.49023438  281.60562134]",19.7833862305,0,2.0
33,"[ 282.22994995  309.22140503   83.37071228   81.90908051   57.47605515
  197.14399719  159.03190613  239.82365417   59.26770782    4.30014849]","[  5.87772179   5.14111042  12.4238205    6.54206371   1.61365473
  17.52445221   4.69141483   5.27519417   0.14655064   0.25859389]","[ 230.21202087  174.46153259  276.17550659  204.80458069   43.26223755
  118.08582306  116.42985535  265.49023438  281.60562134  197.79325867]",19.5666351318,0,2.0
34,"[ 309.22140503   83.37071228   81.90908051   57.47605515  197.14399719
  159.03190613  239.82365417   59.26770782    4.30014849   52.08164597]","[  5.14111042  12.4238205    6.54206371   1.61365473  17.52445221
   4.69141483   5.27519417   0.14655064   0.25859389   3.50765038]","[ 174.46153259  276.17550659  204.80458069   43.26223755  118.08582306
  116.42985535  265.49023438  281.60562134  197.79325867  420.51144409]",19.3815097809,0,2.0
35,"[  83.37071228   81.90908051   57.47605515  197.14399719  159.03190613
  239.82365417   59.26770782    4.30014849   52.08164597  233.79252625]","[ 12.4238205    6.54206371   1.61365473  17.52445221   4.69141483
   5.27519417   0.14655064   0.25859389   3.50765038   8.21939278]","[ 276.17550659  204.80458069   43.26223755  118.08582306  116.42985535
  265.49023438  281.60562134  197.79325867  420.51144409  251.73426819]",19.1808795929,0,2.0
