,activation_0,activation_1,dist,id,vel,"('activation_2',)"
51,"[  19.76651382  144.20747375  146.85932922  141.65795898   40.18594742
  107.83689117  274.07034302   36.42994308  136.47703552   11.33481312]","[ 10.74526024   2.87996864  13.68385983   8.26819992  24.22039986
   0.94172102   9.94459724   2.83521128  12.16165352   1.9394114 ]",15.4676113129,0,2.0,"[ 143.29084778  324.28326416  218.94352722  353.82104492  370.02941895
    8.67517948  107.46352386  266.2673645   208.87785339  246.76748657]"
52,"[ 144.20747375  146.85932922  141.65795898   40.18594742  107.83689117
  274.07034302   36.42994308  136.47703552   11.33481312   35.51103592]","[  2.87996864  13.68385983   8.26819992  24.22039986   0.94172102
   9.94459724   2.83521128  12.16165352   1.9394114    8.27719879]",15.264046669,0,2.0,"[ 324.28326416  218.94352722  353.82104492  370.02941895    8.67517948
  107.46352386  266.2673645   208.87785339  246.76748657   63.83726501]"
53,"[ 146.85932922  141.65795898   40.18594742  107.83689117  274.07034302
   36.42994308  136.47703552   11.33481312   35.51103592   82.97780609]","[ 13.68385983   8.26819992  24.22039986   0.94172102   9.94459724
   2.83521128  12.16165352   1.9394114    8.27719879  14.3462944 ]",15.060133934,0,2.0,"[ 218.94352722  353.82104492  370.02941895    8.67517948  107.46352386
  266.2673645   208.87785339  246.76748657   63.83726501  356.18087769]"
54,"[ 141.65795898   40.18594742  107.83689117  274.07034302   36.42994308
  136.47703552   11.33481312   35.51103592   82.97780609   90.46838379]","[  8.26819992  24.22039986   0.94172102   9.94459724   2.83521128
  12.16165352   1.9394114    8.27719879  14.3462944   14.15890312]",14.8559560776,0,2.0,"[ 353.82104492  370.02941895    8.67517948  107.46352386  266.2673645
  208.87785339  246.76748657   63.83726501  356.18087769   86.94885254]"
55,"[  40.18594742  107.83689117  274.07034302   36.42994308  136.47703552
   11.33481312   35.51103592   82.97780609   90.46838379  604.88757324]","[ 24.22039986   0.94172102   9.94459724   2.83521128  12.16165352
   1.9394114    8.27719879  14.3462944   14.15890312  20.26623344]",14.6516427994,0,2.0,"[ 370.02941895    8.67517948  107.46352386  266.2673645   208.87785339
  246.76748657   63.83726501  356.18087769   86.94885254  365.49127197]"
56,"[ 107.83689117  274.07034302   36.42994308  136.47703552   11.33481312
   35.51103592   82.97780609   90.46838379  604.88757324   62.43281555]","[  0.94172102   9.94459724   2.83521128  12.16165352   1.9394114
   8.27719879  14.3462944   14.15890312  20.26623344   1.24509311]",14.4471158981,0,2.0,"[   8.67517948  107.46352386  266.2673645   208.87785339  246.76748657
   63.83726501  356.18087769   86.94885254  365.49127197  271.52896118]"
57,"[ 274.07034302   36.42994308  136.47703552   11.33481312   35.51103592
   82.97780609   90.46838379  604.88757324   62.43281555  380.01690674]","[  9.94459724   2.83521128  12.16165352   1.9394114    8.27719879
  14.3462944   14.15890312  20.26623344   1.24509311  37.02519608]",14.2424020767,0,2.0,"[ 107.46352386  266.2673645   208.87785339  246.76748657   63.83726501
  356.18087769   86.94885254  365.49127197  271.52896118   74.98859406]"
58,"[  36.42994308  136.47703552   11.33481312   35.51103592   82.97780609
   90.46838379  604.88757324   62.43281555  380.01690674  351.99951172]","[  2.83521128  12.16165352   1.9394114    8.27719879  14.3462944
  14.15890312  20.26623344   1.24509311  37.02519608  24.25135803]",14.0376119614,0,2.0,"[ 266.2673645   208.87785339  246.76748657   63.83726501  356.18087769
   86.94885254  365.49127197  271.52896118   74.98859406  100.71888733]"
59,"[ 136.47703552   11.33481312   35.51103592   82.97780609   90.46838379
  604.88757324   62.43281555  380.01690674  351.99951172  308.56478882]","[ 12.16165352   1.9394114    8.27719879  14.3462944   14.15890312
  20.26623344   1.24509311  37.02519608  24.25135803  17.4681797 ]",13.8319625854,0,2.0,"[ 208.87785339  246.76748657   63.83726501  356.18087769   86.94885254
  365.49127197  271.52896118   74.98859406  100.71888733  299.10421753]"
60,"[  11.33481312   35.51103592   82.97780609   90.46838379  604.88757324
   62.43281555  380.01690674  351.99951172  308.56478882  303.73782349]","[  1.9394114    8.27719879  14.3462944   14.15890312  20.26623344
   1.24509311  37.02519608  24.25135803  17.4681797   16.55945969]",13.62641716,0,2.0,"[ 246.76748657   63.83726501  356.18087769   86.94885254  365.49127197
  271.52896118   74.98859406  100.71888733  299.10421753  189.60203552]"
61,"[  35.51103592   82.97780609   90.46838379  604.88757324   62.43281555
  380.01690674  351.99951172  308.56478882  303.73782349   42.72944641]","[  8.27719879  14.3462944   14.15890312  20.26623344   1.24509311
  37.02519608  24.25135803  17.4681797   16.55945969   2.03461528]",13.4205694199,0,2.0,"[  63.83726501  356.18087769   86.94885254  365.49127197  271.52896118
   74.98859406  100.71888733  299.10421753  189.60203552  262.72592163]"
62,"[  82.97780609   90.46838379  604.88757324   62.43281555  380.01690674
  351.99951172  308.56478882  303.73782349   42.72944641  284.33294678]","[ 14.3462944   14.15890312  20.26623344   1.24509311  37.02519608
  24.25135803  17.4681797   16.55945969   2.03461528  29.68638039]",13.215092659,0,2.0,"[ 356.18087769   86.94885254  365.49127197  271.52896118   74.98859406
  100.71888733  299.10421753  189.60203552  262.72592163  157.70167542]"
63,"[  90.46838379  604.88757324   62.43281555  380.01690674  351.99951172
  308.56478882  303.73782349   42.72944641  284.33294678  138.42773438]","[ 14.15890312  20.26623344   1.24509311  37.02519608  24.25135803
  17.4681797   16.55945969   2.03461528  29.68638039   1.81929696]",13.009188652,0,2.0,"[  86.94885254  365.49127197  271.52896118   74.98859406  100.71888733
  299.10421753  189.60203552  262.72592163  157.70167542  275.80697632]"
