,activation_0,activation_1,dist,id,vel,"('activation_2',)"
10,"[ 148.76881409  389.82608032  258.92764282  108.97885132  526.20471191
  282.71496582  172.99066162  187.26293945    1.60821867  132.94721985]","[ 35.62332916  32.8237114   47.67566299   8.27547455   9.07086754
  59.74850845  10.29172325   4.54024792  12.36799812   7.51696253]",22.900800705,1,2.0,"[ 215.86735535  157.55929565  654.99224854   54.62366486  544.43914795
  604.93487549  236.21965027  105.05641174  118.59493256  141.91920471]"
11,"[ 389.82608032  258.92764282  108.97885132  526.20471191  282.71496582
  172.99066162  187.26293945    1.60821867  132.94721985   22.02804375]","[ 32.8237114   47.67566299   8.27547455   9.07086754  59.74850845
  10.29172325   4.54024792  12.36799812   7.51696253   4.04283571]",22.7072086334,1,2.0,"[ 157.55929565  654.99224854   54.62366486  544.43914795  604.93487549
  236.21965027  105.05641174  118.59493256  141.91920471  110.6717453 ]"
12,"[ 258.92764282  108.97885132  526.20471191  282.71496582  172.99066162
  187.26293945    1.60821867  132.94721985   22.02804375   92.15006256]","[ 47.67566299   8.27547455   9.07086754  59.74850845  10.29172325
   4.54024792  12.36799812   7.51696253   4.04283571   0.91688168]",22.5131664276,1,2.0,"[ 654.99224854   54.62366486  544.43914795  604.93487549  236.21965027
  105.05641174  118.59493256  141.91920471  110.6717453   103.2835083 ]"
13,"[ 108.97885132  526.20471191  282.71496582  172.99066162  187.26293945
    1.60821867  132.94721985   22.02804375   92.15006256  106.18663025]","[  8.27547455   9.07086754  59.74850845  10.29172325   4.54024792
  12.36799812   7.51696253   4.04283571   0.91688168  24.82377815]",22.3188686371,1,2.0,"[  54.62366486  544.43914795  604.93487549  236.21965027  105.05641174
  118.59493256  141.91920471  110.6717453   103.2835083   134.80305481]"
14,"[ 526.20471191  282.71496582  172.99066162  187.26293945    1.60821867
  132.94721985   22.02804375   92.15006256  106.18663025  642.51556396]","[  9.07086754  59.74850845  10.29172325   4.54024792  12.36799812
   7.51696253   4.04283571   0.91688168  24.82377815  21.58594513]",21.9232025146,1,2.0,"[ 544.43914795  604.93487549  236.21965027  105.05641174  118.59493256
  141.91920471  110.6717453   103.2835083   134.80305481   11.10122585]"
15,"[ 282.71496582  172.99066162  187.26293945    1.60821867  132.94721985
   22.02804375   92.15006256  106.18663025  642.51556396   75.0761795 ]","[ 59.74850845  10.29172325   4.54024792  12.36799812   7.51696253
   4.04283571   0.91688168  24.82377815  21.58594513   5.78542948]",21.7221431732,1,2.0,"[ 604.93487549  236.21965027  105.05641174  118.59493256  141.91920471
  110.6717453   103.2835083   134.80305481   11.10122585  238.08061218]"
16,"[ 172.99066162  187.26293945    1.60821867  132.94721985   22.02804375
   92.15006256  106.18663025  642.51556396   75.0761795   155.22895813]","[ 10.29172325   4.54024792  12.36799812   7.51696253   4.04283571
   0.91688168  24.82377815  21.58594513   5.78542948  11.71609974]",21.5212478638,1,2.0,"[ 236.21965027  105.05641174  118.59493256  141.91920471  110.6717453
  103.2835083   134.80305481   11.10122585  238.08061218  122.1317215 ]"
17,"[ 187.26293945    1.60821867  132.94721985   22.02804375   92.15006256
  106.18663025  642.51556396   75.0761795   155.22895813  333.69366455]","[  4.54024792  12.36799812   7.51696253   4.04283571   0.91688168
  24.82377815  21.58594513   5.78542948  11.71609974   7.04285526]",21.1161823273,1,2.0,"[ 105.05641174  118.59493256  141.91920471  110.6717453   103.2835083
  134.80305481   11.10122585  238.08061218  122.1317215   130.67958069]"
18,"[   1.60821867  132.94721985   22.02804375   92.15006256  106.18663025
  642.51556396   75.0761795   155.22895813  333.69366455  304.31085205]","[ 12.36799812   7.51696253   4.04283571   0.91688168  24.82377815
  21.58594513   5.78542948  11.71609974   7.04285526  15.86536598]",20.7086162567,1,2.0,"[ 118.59493256  141.91920471  110.6717453   103.2835083   134.80305481
   11.10122585  238.08061218  122.1317215   130.67958069   68.06994629]"
19,"[ 132.94721985   22.02804375   92.15006256  106.18663025  642.51556396
   75.0761795   155.22895813  333.69366455  304.31085205  472.05581665]","[  7.51696253   4.04283571   0.91688168  24.82377815  21.58594513
   5.78542948  11.71609974   7.04285526  15.86536598   0.90459269]",20.2983798981,1,2.0,"[ 141.91920471  110.6717453   103.2835083   134.80305481   11.10122585
  238.08061218  122.1317215   130.67958069   68.06994629   12.97375011]"
