,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
10,"[ 337.87130737  231.37591553  927.08435059  157.47920227  969.63824463
  344.07073975  465.77886963  901.57739258  163.6182251   219.34545898]","[ 274.16537476   34.0579834   682.38012695   54.78158188  782.65362549
  215.54148865  490.59329224  651.88897705   56.02590942   26.16197586]","[ 248.95146179  142.88768005  117.70215607   10.99258327  125.53510284
   53.17306519  129.09179688  131.21266174  194.69081116  313.37237549]","[ 622.69689941  109.08559418  168.92150879  120.97013855  264.52114868
  271.12991333  169.44944763  331.84609985  144.24603271  238.78587341]","[ 314.76123047    2.15115237  108.81459045  148.68821716  102.8704071
  155.55195618  134.2485199   214.3540802    44.58603668   87.40673065]",38.7120399475,0,2.0
11,"[ 231.37591553  927.08435059  157.47920227  969.63824463  344.07073975
  465.77886963  901.57739258  163.6182251   219.34545898  145.80899048]","[  34.0579834   682.38012695   54.78158188  782.65362549  215.54148865
  490.59329224  651.88897705   56.02590942   26.16197586  152.8795929 ]","[ 142.88768005  117.70215607   10.99258327  125.53510284   53.17306519
  129.09179688  131.21266174  194.69081116  313.37237549   25.50233459]","[ 109.08559418  168.92150879  120.97013855  264.52114868  271.12991333
  169.44944763  331.84609985  144.24603271  238.78587341  304.24386597]","[   2.15115237  108.81459045  148.68821716  102.8704071   155.55195618
  134.2485199   214.3540802    44.58603668   87.40673065  167.93438721]",38.5419006348,0,2.0
12,"[ 927.08435059  157.47920227  969.63824463  344.07073975  465.77886963
  901.57739258  163.6182251   219.34545898  145.80899048   33.30054855]","[ 682.38012695   54.78158188  782.65362549  215.54148865  490.59329224
  651.88897705   56.02590942   26.16197586  152.8795929     5.1412158 ]","[ 117.70215607   10.99258327  125.53510284   53.17306519  129.09179688
  131.21266174  194.69081116  313.37237549   25.50233459   31.81467247]","[ 168.92150879  120.97013855  264.52114868  271.12991333  169.44944763
  331.84609985  144.24603271  238.78587341  304.24386597  218.06788635]","[ 108.81459045  148.68821716  102.8704071   155.55195618  134.2485199
  214.3540802    44.58603668   87.40673065  167.93438721  141.66368103]",38.3388900757,0,2.0
13,"[ 157.47920227  969.63824463  344.07073975  465.77886963  901.57739258
  163.6182251   219.34545898  145.80899048   33.30054855  183.91706848]","[  54.78158188  782.65362549  215.54148865  490.59329224  651.88897705
   56.02590942   26.16197586  152.8795929     5.1412158    15.58550167]","[  10.99258327  125.53510284   53.17306519  129.09179688  131.21266174
  194.69081116  313.37237549   25.50233459   31.81467247   58.77932739]","[ 120.97013855  264.52114868  271.12991333  169.44944763  331.84609985
  144.24603271  238.78587341  304.24386597  218.06788635   52.14267349]","[ 148.68821716  102.8704071   155.55195618  134.2485199   214.3540802
   44.58603668   87.40673065  167.93438721  141.66368103   41.29317856]",38.1394958496,0,2.0
14,"[ 969.63824463  344.07073975  465.77886963  901.57739258  163.6182251
  219.34545898  145.80899048   33.30054855  183.91706848  138.86560059]","[ 782.65362549  215.54148865  490.59329224  651.88897705   56.02590942
   26.16197586  152.8795929     5.1412158    15.58550167   13.19413376]","[ 125.53510284   53.17306519  129.09179688  131.21266174  194.69081116
  313.37237549   25.50233459   31.81467247   58.77932739   43.66720963]","[ 264.52114868  271.12991333  169.44944763  331.84609985  144.24603271
  238.78587341  304.24386597  218.06788635   52.14267349  146.42066956]","[ 102.8704071   155.55195618  134.2485199   214.3540802    44.58603668
   87.40673065  167.93438721  141.66368103   41.29317856   80.06571198]",37.9536552429,0,2.0
15,"[ 344.07073975  465.77886963  901.57739258  163.6182251   219.34545898
  145.80899048   33.30054855  183.91706848  138.86560059  149.75234985]","[ 215.54148865  490.59329224  651.88897705   56.02590942   26.16197586
  152.8795929     5.1412158    15.58550167   13.19413376  168.1557312 ]","[  53.17306519  129.09179688  131.21266174  194.69081116  313.37237549
   25.50233459   31.81467247   58.77932739   43.66720963   49.72406387]","[ 271.12991333  169.44944763  331.84609985  144.24603271  238.78587341
  304.24386597  218.06788635   52.14267349  146.42066956  169.52592468]","[ 155.55195618  134.2485199   214.3540802    44.58603668   87.40673065
  167.93438721  141.66368103   41.29317856   80.06571198  104.84650421]",37.7574272156,0,2.0
16,"[ 465.77886963  901.57739258  163.6182251   219.34545898  145.80899048
   33.30054855  183.91706848  138.86560059  149.75234985  231.93943787]","[ 490.59329224  651.88897705   56.02590942   26.16197586  152.8795929
    5.1412158    15.58550167   13.19413376  168.1557312    62.86558533]","[ 129.09179688  131.21266174  194.69081116  313.37237549   25.50233459
   31.81467247   58.77932739   43.66720963   49.72406387   77.86547089]","[ 169.44944763  331.84609985  144.24603271  238.78587341  304.24386597
  218.06788635   52.14267349  146.42066956  169.52592468   72.34841156]","[ 134.2485199   214.3540802    44.58603668   87.40673065  167.93438721
  141.66368103   41.29317856   80.06571198  104.84650421    1.91118526]",37.5609474182,0,2.0
17,"[ 901.57739258  163.6182251   219.34545898  145.80899048   33.30054855
  183.91706848  138.86560059  149.75234985  231.93943787  310.34869385]","[ 651.88897705   56.02590942   26.16197586  152.8795929     5.1412158
   15.58550167   13.19413376  168.1557312    62.86558533  231.41064453]","[ 131.21266174  194.69081116  313.37237549   25.50233459   31.81467247
   58.77932739   43.66720963   49.72406387   77.86547089  144.02966309]","[ 331.84609985  144.24603271  238.78587341  304.24386597  218.06788635
   52.14267349  146.42066956  169.52592468   72.34841156   85.95714569]","[ 214.3540802    44.58603668   87.40673065  167.93438721  141.66368103
   41.29317856   80.06571198  104.84650421    1.91118526   34.03858566]",37.3642883301,0,2.0
18,"[ 163.6182251   219.34545898  145.80899048   33.30054855  183.91706848
  138.86560059  149.75234985  231.93943787  310.34869385  103.26806641]","[  56.02590942   26.16197586  152.8795929     5.1412158    15.58550167
   13.19413376  168.1557312    62.86558533  231.41064453   45.90010071]","[ 194.69081116  313.37237549   25.50233459   31.81467247   58.77932739
   43.66720963   49.72406387   77.86547089  144.02966309  119.80571747]","[ 144.24603271  238.78587341  304.24386597  218.06788635   52.14267349
  146.42066956  169.52592468   72.34841156   85.95714569  290.31796265]","[  44.58603668   87.40673065  167.93438721  141.66368103   41.29317856
   80.06571198  104.84650421    1.91118526   34.03858566  127.35975647]",37.1657714844,0,2.0
19,"[ 219.34545898  145.80899048   33.30054855  183.91706848  138.86560059
  149.75234985  231.93943787  310.34869385  103.26806641  351.64871216]","[  26.16197586  152.8795929     5.1412158    15.58550167   13.19413376
  168.1557312    62.86558533  231.41064453   45.90010071  455.425354  ]","[ 313.37237549   25.50233459   31.81467247   58.77932739   43.66720963
   49.72406387   77.86547089  144.02966309  119.80571747  119.91664886]","[ 238.78587341  304.24386597  218.06788635   52.14267349  146.42066956
  169.52592468   72.34841156   85.95714569  290.31796265  251.00424194]","[  87.40673065  167.93438721  141.66368103   41.29317856   80.06571198
  104.84650421    1.91118526   34.03858566  127.35975647   95.27227783]",36.9657173157,0,2.0
