,activation_0,activation_1,activation_2,activation_3,dist,id,vel
10,"[ 713.76086426  151.63317871  585.84912109  261.61590576  233.67675781
  472.96829224  448.15875244  165.6526947    28.21085167  149.015625  ]","[  8.44128132   4.42465782  28.65693474  84.48158264  21.99135971
   7.18589497  43.31559372  12.13852692   3.61999583   9.04197788]","[  86.86767578   21.93515015   33.86142349   95.02406311   72.58876801
    3.33444524  103.67375183    4.16987038   12.11324787   23.13640022]","[ 430.12960815   35.42695999  374.58602905   83.66840363  252.31109619
  288.85519409  874.52996826   69.70380402  213.04924011  130.12748718]",23.4879245758,0,2.0
11,"[ 151.63317871  585.84912109  261.61590576  233.67675781  472.96829224
  448.15875244  165.6526947    28.21085167  149.015625     42.84160995]","[  4.42465782  28.65693474  84.48158264  21.99135971   7.18589497
  43.31559372  12.13852692   3.61999583   9.04197788  37.26877594]","[  21.93515015   33.86142349   95.02406311   72.58876801    3.33444524
  103.67375183    4.16987038   12.11324787   23.13640022   84.59096527]","[  35.42695999  374.58602905   83.66840363  252.31109619  288.85519409
  874.52996826   69.70380402  213.04924011  130.12748718  438.40057373]",23.2990493774,0,2.0
12,"[ 585.84912109  261.61590576  233.67675781  472.96829224  448.15875244
  165.6526947    28.21085167  149.015625     42.84160995   34.38428879]","[ 28.65693474  84.48158264  21.99135971   7.18589497  43.31559372
  12.13852692   3.61999583   9.04197788  37.26877594  11.36499691]","[  33.86142349   95.02406311   72.58876801    3.33444524  103.67375183
    4.16987038   12.11324787   23.13640022   84.59096527   16.97921562]","[ 374.58602905   83.66840363  252.31109619  288.85519409  874.52996826
   69.70380402  213.04924011  130.12748718  438.40057373  137.35668945]",23.1233711243,0,2.0
13,"[ 261.61590576  233.67675781  472.96829224  448.15875244  165.6526947
   28.21085167  149.015625     42.84160995   34.38428879   43.981987  ]","[ 84.48158264  21.99135971   7.18589497  43.31559372  12.13852692
   3.61999583   9.04197788  37.26877594  11.36499691  29.54986572]","[  95.02406311   72.58876801    3.33444524  103.67375183    4.16987038
   12.11324787   23.13640022   84.59096527   16.97921562   31.16123581]","[  83.66840363  252.31109619  288.85519409  874.52996826   69.70380402
  213.04924011  130.12748718  438.40057373  137.35668945   25.30374146]",22.9295272827,0,2.0
14,"[ 233.67675781  472.96829224  448.15875244  165.6526947    28.21085167
  149.015625     42.84160995   34.38428879   43.981987     27.00272369]","[ 21.99135971   7.18589497  43.31559372  12.13852692   3.61999583
   9.04197788  37.26877594  11.36499691  29.54986572   9.36317444]","[  72.58876801    3.33444524  103.67375183    4.16987038   12.11324787
   23.13640022   84.59096527   16.97921562   31.16123581   24.10627365]","[ 252.31109619  288.85519409  874.52996826   69.70380402  213.04924011
  130.12748718  438.40057373  137.35668945   25.30374146  220.84135437]",22.7178287506,0,2.0
15,"[ 472.96829224  448.15875244  165.6526947    28.21085167  149.015625
   42.84160995   34.38428879   43.981987     27.00272369  133.52922058]","[  7.18589497  43.31559372  12.13852692   3.61999583   9.04197788
  37.26877594  11.36499691  29.54986572   9.36317444  13.88990402]","[   3.33444524  103.67375183    4.16987038   12.11324787   23.13640022
   84.59096527   16.97921562   31.16123581   24.10627365   31.89066696]","[ 288.85519409  874.52996826   69.70380402  213.04924011  130.12748718
  438.40057373  137.35668945   25.30374146  220.84135437  192.18321228]",22.5214519501,0,2.0
16,"[ 448.15875244  165.6526947    28.21085167  149.015625     42.84160995
   34.38428879   43.981987     27.00272369  133.52922058  196.79003906]","[ 43.31559372  12.13852692   3.61999583   9.04197788  37.26877594
  11.36499691  29.54986572   9.36317444  13.88990402   4.91327095]","[ 103.67375183    4.16987038   12.11324787   23.13640022   84.59096527
   16.97921562   31.16123581   24.10627365   31.89066696   14.67887306]","[ 874.52996826   69.70380402  213.04924011  130.12748718  438.40057373
  137.35668945   25.30374146  220.84135437  192.18321228   78.5493927 ]",22.3246517181,0,2.0
17,"[ 165.6526947    28.21085167  149.015625     42.84160995   34.38428879
   43.981987     27.00272369  133.52922058  196.79003906  100.7781601 ]","[ 12.13852692   3.61999583   9.04197788  37.26877594  11.36499691
  29.54986572   9.36317444  13.88990402   4.91327095  29.58322906]","[  4.16987038  12.11324787  23.13640022  84.59096527  16.97921562
  31.16123581  24.10627365  31.89066696  14.67887306  34.6970253 ]","[  69.70380402  213.04924011  130.12748718  438.40057373  137.35668945
   25.30374146  220.84135437  192.18321228   78.5493927   136.34448242]",22.1394119263,0,2.0
18,"[  28.21085167  149.015625     42.84160995   34.38428879   43.981987
   27.00272369  133.52922058  196.79003906  100.7781601   177.01727295]","[  3.61999583   9.04197788  37.26877594  11.36499691  29.54986572
   9.36317444  13.88990402   4.91327095  29.58322906  47.60497284]","[ 12.11324787  23.13640022  84.59096527  16.97921562  31.16123581
  24.10627365  31.89066696  14.67887306  34.6970253   46.50499725]","[ 213.04924011  130.12748718  438.40057373  137.35668945   25.30374146
  220.84135437  192.18321228   78.5493927   136.34448242  259.24835205]",21.9381065369,0,2.0
19,"[ 149.015625     42.84160995   34.38428879   43.981987     27.00272369
  133.52922058  196.79003906  100.7781601   177.01727295  247.60438538]","[  9.04197788  37.26877594  11.36499691  29.54986572   9.36317444
  13.88990402   4.91327095  29.58322906  47.60497284   8.4119854 ]","[ 23.13640022  84.59096527  16.97921562  31.16123581  24.10627365
  31.89066696  14.67887306  34.6970253   46.50499725  21.63556671]","[ 130.12748718  438.40057373  137.35668945   25.30374146  220.84135437
  192.18321228   78.5493927   136.34448242  259.24835205  147.69114685]",21.7174472809,0,2.0
