,activation_0,activation_1,activation_2,activation_3,dist,id,vel
26,"[   9.76895046   35.06434631   62.24363327  136.22007751  105.18225098
   28.14961815  202.84342957  145.15055847  367.80175781   19.37251282]","[ 35.73416901  57.62523651   0.83584267  10.50774097   1.56260514
   7.55555391   5.95878506   0.1676977   10.01077366   5.36045313]","[ 46.57593536  76.42696381   1.8316462    8.23913765   6.73623657
   4.12734747  14.65897179   2.96290088   3.69283605   4.47908783]","[  74.05541229  164.18782043  154.72076416  293.73007202  346.26947021
  157.03962708  391.24053955  280.54223633    3.19451809   98.13600159]",20.6588249207,2,2.0
27,"[  35.06434631   62.24363327  136.22007751  105.18225098   28.14961815
  202.84342957  145.15055847  367.80175781   19.37251282   38.07849121]","[ 57.62523651   0.83584267  10.50774097   1.56260514   7.55555391
   5.95878506   0.1676977   10.01077366   5.36045313  27.42765999]","[ 76.42696381   1.8316462    8.23913765   6.73623657   4.12734747
  14.65897179   2.96290088   3.69283605   4.47908783  15.57983875]","[ 164.18782043  154.72076416  293.73007202  346.26947021  157.03962708
  391.24053955  280.54223633    3.19451809   98.13600159  168.64305115]",20.4601249695,2,2.0
28,"[  62.24363327  136.22007751  105.18225098   28.14961815  202.84342957
  145.15055847  367.80175781   19.37251282   38.07849121   52.14538574]","[  0.83584267  10.50774097   1.56260514   7.55555391   5.95878506
   0.1676977   10.01077366   5.36045313  27.42765999  18.56348419]","[  1.8316462    8.23913765   6.73623657   4.12734747  14.65897179
   2.96290088   3.69283605   4.47908783  15.57983875  16.15127754]","[ 154.72076416  293.73007202  346.26947021  157.03962708  391.24053955
  280.54223633    3.19451809   98.13600159  168.64305115  177.3263092 ]",20.2606678009,2,2.0
29,"[ 136.22007751  105.18225098   28.14961815  202.84342957  145.15055847
  367.80175781   19.37251282   38.07849121   52.14538574    9.83624554]","[ 10.50774097   1.56260514   7.55555391   5.95878506   0.1676977
  10.01077366   5.36045313  27.42765999  18.56348419  14.99782944]","[  8.23913765   6.73623657   4.12734747  14.65897179   2.96290088
   3.69283605   4.47908783  15.57983875  16.15127754  31.31751633]","[ 293.73007202  346.26947021  157.03962708  391.24053955  280.54223633
    3.19451809   98.13600159  168.64305115  177.3263092   374.95431519]",20.0604610443,2,2.0
30,"[ 105.18225098   28.14961815  202.84342957  145.15055847  367.80175781
   19.37251282   38.07849121   52.14538574    9.83624554   80.0960083 ]","[  1.56260514   7.55555391   5.95878506   0.1676977   10.01077366
   5.36045313  27.42765999  18.56348419  14.99782944  16.99568176]","[  6.73623657   4.12734747  14.65897179   2.96290088   3.69283605
   4.47908783  15.57983875  16.15127754  31.31751633  27.89448357]","[ 346.26947021  157.03962708  391.24053955  280.54223633    3.19451809
   98.13600159  168.64305115  177.3263092   374.95431519  175.5355072 ]",19.8602161407,2,2.0
31,"[  28.14961815  202.84342957  145.15055847  367.80175781   19.37251282
   38.07849121   52.14538574    9.83624554   80.0960083    15.35978794]","[  7.55555391   5.95878506   0.1676977   10.01077366   5.36045313
  27.42765999  18.56348419  14.99782944  16.99568176  10.72606277]","[  4.12734747  14.65897179   2.96290088   3.69283605   4.47908783
  15.57983875  16.15127754  31.31751633  27.89448357  16.52856445]","[ 157.03962708  391.24053955  280.54223633    3.19451809   98.13600159
  168.64305115  177.3263092   374.95431519  175.5355072   237.92420959]",19.6597652435,2,2.0
32,"[ 202.84342957  145.15055847  367.80175781   19.37251282   38.07849121
   52.14538574    9.83624554   80.0960083    15.35978794  125.29804993]","[  5.95878506   0.1676977   10.01077366   5.36045313  27.42765999
  18.56348419  14.99782944  16.99568176  10.72606277  25.86762428]","[ 14.65897179   2.96290088   3.69283605   4.47908783  15.57983875
  16.15127754  31.31751633  27.89448357  16.52856445  17.03972244]","[ 391.24053955  280.54223633    3.19451809   98.13600159  168.64305115
  177.3263092   374.95431519  175.5355072   237.92420959  139.59660339]",19.4587402344,2,2.0
33,"[ 145.15055847  367.80175781   19.37251282   38.07849121   52.14538574
    9.83624554   80.0960083    15.35978794  125.29804993  196.20066833]","[  0.1676977   10.01077366   5.36045313  27.42765999  18.56348419
  14.99782944  16.99568176  10.72606277  25.86762428   5.06565619]","[  2.96290088   3.69283605   4.47908783  15.57983875  16.15127754
  31.31751633  27.89448357  16.52856445  17.03972244   1.68613505]","[ 280.54223633    3.19451809   98.13600159  168.64305115  177.3263092
  374.95431519  175.5355072   237.92420959  139.59660339  378.02679443]",19.2412528992,2,2.0
34,"[ 367.80175781   19.37251282   38.07849121   52.14538574    9.83624554
   80.0960083    15.35978794  125.29804993  196.20066833   57.02503204]","[ 10.01077366   5.36045313  27.42765999  18.56348419  14.99782944
  16.99568176  10.72606277  25.86762428   5.06565619  19.22079849]","[  3.69283605   4.47908783  15.57983875  16.15127754  31.31751633
  27.89448357  16.52856445  17.03972244   1.68613505  25.00251007]","[   3.19451809   98.13600159  168.64305115  177.3263092   374.95431519
  175.5355072   237.92420959  139.59660339  378.02679443  258.50119019]",19.0561447144,2,2.0
35,"[  19.37251282   38.07849121   52.14538574    9.83624554   80.0960083
   15.35978794  125.29804993  196.20066833   57.02503204  213.63781738]","[  5.36045313  27.42765999  18.56348419  14.99782944  16.99568176
  10.72606277  25.86762428   5.06565619  19.22079849  13.72842121]","[  4.47908783  15.57983875  16.15127754  31.31751633  27.89448357
  16.52856445  17.03972244   1.68613505  25.00251007   6.64661455]","[  98.13600159  168.64305115  177.3263092   374.95431519  175.5355072
  237.92420959  139.59660339  378.02679443  258.50119019  282.37734985]",18.8547439575,2,2.0
36,"[  38.07849121   52.14538574    9.83624554   80.0960083    15.35978794
  125.29804993  196.20066833   57.02503204  213.63781738  162.68649292]","[ 27.42765999  18.56348419  14.99782944  16.99568176  10.72606277
  25.86762428   5.06565619  19.22079849  13.72842121   2.0785017 ]","[ 15.57983875  16.15127754  31.31751633  27.89448357  16.52856445
  17.03972244   1.68613505  25.00251007   6.64661455   0.86825806]","[ 168.64305115  177.3263092   374.95431519  175.5355072   237.92420959
  139.59660339  378.02679443  258.50119019  282.37734985  415.6244812 ]",18.6540641785,2,2.0
