,activation_0,activation_1,activation_2,activation_3,dist,id,vel
20,"[  2.28001083e+02   8.71946335e+01   9.04499817e+00   2.29151249e-02
   1.62636826e+02   6.52706528e+01   5.05130672e+00   2.42514359e+02
   3.00508842e+01   1.97554184e+02]","[ 11.241045     0.39852685  23.92134285   0.6305232    1.09903359
   6.77538061   4.52291107  11.05276871   8.07072163   2.24151182]","[ 23.72481155  11.55916023  19.92033386   5.26207352   0.58000511
  10.03609753   3.79517889   8.90080357  18.45249176   0.74492973]","[ 235.40188599  295.24911499  232.71942139  284.50741577   61.60454559
  197.60017395  194.16360474   90.69915009    2.11850262  286.69311523]",22.0536117554,2,2.0
21,"[  8.71946335e+01   9.04499817e+00   2.29151249e-02   1.62636826e+02
   6.52706528e+01   5.05130672e+00   2.42514359e+02   3.00508842e+01
   1.97554184e+02   6.52294083e+01]","[  0.39852685  23.92134285   0.6305232    1.09903359   6.77538061
   4.52291107  11.05276871   8.07072163   2.24151182  36.1324501 ]","[ 11.55916023  19.92033386   5.26207352   0.58000511  10.03609753
   3.79517889   8.90080357  18.45249176   0.74492973  38.69526291]","[ 295.24911499  232.71942139  284.50741577   61.60454559  197.60017395
  194.16360474   90.69915009    2.11850262  286.69311523  244.52687073]",21.8531723022,2,2.0
22,"[  9.04499817e+00   2.29151249e-02   1.62636826e+02   6.52706528e+01
   5.05130672e+00   2.42514359e+02   3.00508842e+01   1.97554184e+02
   6.52294083e+01   2.72289619e+01]","[ 23.92134285   0.6305232    1.09903359   6.77538061   4.52291107
  11.05276871   8.07072163   2.24151182  36.1324501    6.58312654]","[ 19.92033386   5.26207352   0.58000511  10.03609753   3.79517889
   8.90080357  18.45249176   0.74492973  38.69526291  10.29954815]","[ 232.71942139  284.50741577   61.60454559  197.60017395  194.16360474
   90.69915009    2.11850262  286.69311523  244.52687073  228.32791138]",21.6500968933,2,2.0
23,"[  2.29151249e-02   1.62636826e+02   6.52706528e+01   5.05130672e+00
   2.42514359e+02   3.00508842e+01   1.97554184e+02   6.52294083e+01
   2.72289619e+01   2.01847778e+02]","[  0.6305232    1.09903359   6.77538061   4.52291107  11.05276871
   8.07072163   2.24151182  36.1324501    6.58312654   2.75071144]","[  5.26207352   0.58000511  10.03609753   3.79517889   8.90080357
  18.45249176   0.74492973  38.69526291  10.29954815   3.90941358]","[ 284.50741577   61.60454559  197.60017395  194.16360474   90.69915009
    2.11850262  286.69311523  244.52687073  228.32791138  159.76174927]",21.4465274811,2,2.0
24,"[ 162.63682556   65.27065277    5.05130672  242.51435852   30.05088425
  197.55418396   65.22940826   27.22896194  201.84777832   64.4961853 ]","[  1.09903359   6.77538061   4.52291107  11.05276871   8.07072163
   2.24151182  36.1324501    6.58312654   2.75071144  15.15364265]","[  0.58000511  10.03609753   3.79517889   8.90080357  18.45249176
   0.74492973  38.69526291  10.29954815   3.90941358  24.68421364]","[  61.60454559  197.60017395  194.16360474   90.69915009    2.11850262
  286.69311523  244.52687073  228.32791138  159.76174927  318.13839722]",21.2236728668,2,2.0
25,"[  65.27065277    5.05130672  242.51435852   30.05088425  197.55418396
   65.22940826   27.22896194  201.84777832   64.4961853    67.11315155]","[  6.77538061   4.52291107  11.05276871   8.07072163   2.24151182
  36.1324501    6.58312654   2.75071144  15.15364265   0.32106552]","[ 10.03609753   3.79517889   8.90080357  18.45249176   0.74492973
  38.69526291  10.29954815   3.90941358  24.68421364   1.35723329]","[ 197.60017395  194.16360474   90.69915009    2.11850262  286.69311523
  244.52687073  228.32791138  159.76174927  318.13839722  159.97920227]",21.0178127289,2,2.0
26,"[   5.05130672  242.51435852   30.05088425  197.55418396   65.22940826
   27.22896194  201.84777832   64.4961853    67.11315155   91.82458496]","[  4.52291107  11.05276871   8.07072163   2.24151182  36.1324501
   6.58312654   2.75071144  15.15364265   0.32106552  24.87648964]","[  3.79517889   8.90080357  18.45249176   0.74492973  38.69526291
  10.29954815   3.90941358  24.68421364   1.35723329  30.36983681]","[ 194.16360474   90.69915009    2.11850262  286.69311523  244.52687073
  228.32791138  159.76174927  318.13839722  159.97920227   62.11837387]",20.827293396,2,2.0
27,"[ 242.51435852   30.05088425  197.55418396   65.22940826   27.22896194
  201.84777832   64.4961853    67.11315155   91.82458496   65.28704834]","[ 11.05276871   8.07072163   2.24151182  36.1324501    6.58312654
   2.75071144  15.15364265   0.32106552  24.87648964   4.94610882]","[  8.90080357  18.45249176   0.74492973  38.69526291  10.29954815
   3.90941358  24.68421364   1.35723329  30.36983681  25.49987411]","[  90.69915009    2.11850262  286.69311523  244.52687073  228.32791138
  159.76174927  318.13839722  159.97920227   62.11837387  337.40652466]",20.6209278107,2,2.0
28,"[  30.05088425  197.55418396   65.22940826   27.22896194  201.84777832
   64.4961853    67.11315155   91.82458496   65.28704834  515.31481934]","[  8.07072163   2.24151182  36.1324501    6.58312654   2.75071144
  15.15364265   0.32106552  24.87648964   4.94610882  14.3295269 ]","[ 18.45249176   0.74492973  38.69526291  10.29954815   3.90941358
  24.68421364   1.35723329  30.36983681  25.49987411   0.26933819]","[   2.11850262  286.69311523  244.52687073  228.32791138  159.76174927
  318.13839722  159.97920227   62.11837387  337.40652466   81.27376556]",20.2049789429,2,2.0
29,"[ 197.55418396   65.22940826   27.22896194  201.84777832   64.4961853
   67.11315155   91.82458496   65.28704834  515.31481934  214.67114258]","[  2.24151182  36.1324501    6.58312654   2.75071144  15.15364265
   0.32106552  24.87648964   4.94610882  14.3295269    5.03557777]","[  0.74492973  38.69526291  10.29954815   3.90941358  24.68421364
   1.35723329  30.36983681  25.49987411   0.26933819   0.30520836]","[ 286.69311523  244.52687073  228.32791138  159.76174927  318.13839722
  159.97920227   62.11837387  337.40652466   81.27376556  117.37181091]",19.9952754974,2,2.0
