,activation,activation_gradient,distance,fov_x,velocity
98,0.0777809313352,,15.32,45,1.01
99,0.0763314785701,,15.21,45,1.01
100,0.0879469853707,,15.11,45,1.01
101,0.0554204182905,,15.0,45,1.01
102,0.0709905222533,,14.9,45,1.01
103,0.0786300512064,,14.8,45,1.0
104,0.0744926430884,,14.69,45,1.0
105,0.0583807112937,,14.59,45,1.0
106,0.0572110690396,,14.49,45,1.0
107,0.095816226898,,14.38,45,1.0
108,0.0128448748315,,14.28,45,1.0
109,0.0223367908633,,14.18,45,1.0
110,0.0812222177427,,14.07,45,1.0
111,0.0538104729608,,13.97,45,1.0
112,,,13.87,45,1.0
113,0.158686024713,,13.76,45,1.0
114,0.0611146950823,,13.66,45,1.0
115,0.0735017529084,,13.56,45,1.0
116,0.0597040521717,,13.46,45,1.0
117,,,13.35,45,1.0
118,0.126330286832,,13.25,45,1.0
119,0.082362084635,,13.15,45,1.0
120,0.0738746974135,,13.04,45,1.0
121,,,12.94,45,1.0
122,0.111211034948,,12.84,45,1.0
123,0.0868605144388,,12.74,45,1.0
124,0.0571756612643,,12.63,45,1.0
125,,,12.53,45,1.0
126,0.169891610419,,12.43,45,1.0
127,0.0380802429784,,12.33,45,1.0
128,0.0848875970286,,12.22,45,1.0
129,0.081859276425,,12.12,45,1.0
130,0.0768750463705,,12.02,45,1.0
131,0.074242642447,,11.91,45,1.0
132,0.0599823648697,,11.8,45,1.0
133,0.0852520811209,,11.71,45,1.0
134,0.0711700131712,,11.61,45,0.99
135,0.0590497264855,,11.51,45,0.99
136,0.0555400022023,,11.4,45,0.99
137,0.0623278582948,,11.3,45,0.99
138,0.109386287883,,11.2,45,0.99
139,0.0940223060847,,11.1,45,0.99
140,0.0929316131721,,10.99,45,1.0
141,0.0391804320187,,10.89,45,1.0
142,0.052118764567,,10.78,45,1.0
143,0.118210623391,,10.68,45,1.0
144,0.110070909587,,10.57,45,1.0
145,,,10.47,45,1.0
146,0.182063996587,,10.37,45,1.0
147,0.0828517975192,,10.26,45,1.0
148,0.0929931557165,,10.16,45,1.0
149,0.105689286167,,10.06,45,1.0
150,0.0858056990729,,9.96,45,1.0
151,0.0566482482455,,9.85,45,1.0
152,0.101294740234,,9.75,45,1.0
153,0.0861305409474,,9.63,45,1.0
154,0.091711035471,,9.54,45,1.0
155,0.0860239251158,,9.44,45,1.0
156,0.110328218447,,9.33,45,1.0
157,0.115946547018,,9.23,45,1.0
158,0.098992454371,,9.13,45,1.0
159,0.0936186718398,,9.02,45,1.0
160,0.0713874461312,,8.92,45,1.0
161,0.0901411430636,,8.82,45,1.0
162,0.142705240506,,8.71,45,1.0
163,0.104164344768,,8.61,45,1.0
164,0.140388591739,,8.51,45,1.0
165,0.128489467713,,8.41,45,1.0
166,0.124442091525,,8.3,45,1.0
167,0.117925332829,,8.2,45,1.0
168,,,8.1,45,1.0
169,0.237197697426,,7.99,45,1.0
170,0.124084385703,,7.89,45,1.0
171,0.0996990113224,,7.79,45,1.0
172,0.15722749886,,7.68,45,1.0
173,0.125569694922,,7.58,45,1.0
174,0.116584585274,,7.48,45,1.0
175,0.140644821607,,7.38,45,1.0
176,0.136847605857,,7.27,45,1.0
177,0.125214120724,,7.17,45,1.0
178,0.131068305948,,7.07,45,1.0
179,0.148218292182,,6.97,45,1.0
180,0.166567604272,,6.86,45,1.0
181,0.150761009207,,6.76,45,1.0
182,0.167609966734,,6.66,45,1.0
183,0.167642093803,,6.55,45,1.0
184,0.172840061143,,6.45,45,1.0
185,0.158252269969,,6.33,45,1.0
186,0.16708972023,,6.24,45,1.0
187,0.17073577329,,6.14,45,1.0
188,,,6.04,45,1.0
189,0.409995507673,,5.94,45,1.0
190,0.182095422525,,5.84,45,1.0
191,0.193335257763,,5.73,45,1.0
192,,,5.63,45,1.0
193,0.427912098962,,5.53,45,1.0
194,0.215542012941,,5.43,45,1.0
195,,,5.32,45,1.0
196,0.430597322405,,5.22,45,1.0
197,0.224655414077,,5.12,45,1.0
198,0.228299895908,,5.02,45,1.0
199,0.262821817407,,4.92,45,1.0
200,0.242226847375,,4.81,45,1.0
201,0.269535653456,,4.71,45,1.0
202,0.248904420201,,4.61,45,1.0
203,0.249723013298,,4.51,45,1.0
204,0.262170868908,,4.41,45,1.0
205,0.28303001744,,4.31,45,1.0
206,0.288230005179,,4.21,45,1.0
207,0.281862895281,,4.1,45,1.0
208,0.282484798594,,4.0,45,1.0
209,0.31181737832,,3.9,45,1.0
210,0.312081372994,,3.8,45,1.0
211,0.322315489174,,3.7,45,0.99
212,0.342421179558,,3.6,45,0.99
213,0.362999859989,,3.5,45,0.99
214,0.359504785014,,3.4,45,0.99
215,0.398245841813,,3.29,45,0.99
216,0.394551641846,,3.19,45,0.99
217,0.410641666651,,3.09,45,1.0
218,0.432536034433,,2.99,45,1.0
219,0.43166895738,,2.89,45,1.0
