,activation_0,dist,id,vel
22,"[   97.49327087  1178.35888672   197.39004517   582.42095947   617.82904053
   165.78341675   549.73620605    13.36280727    47.99510193   558.3694458 ]",20.6914348602,0,2.0
23,"[ 1178.35888672   197.39004517   582.42095947   617.82904053   165.78341675
   549.73620605    13.36280727    47.99510193   558.3694458    132.3842926 ]",20.5448722839,0,2.0
24,"[ 197.39004517  582.42095947  617.82904053  165.78341675  549.73620605
   13.36280727   47.99510193  558.3694458   132.3842926   156.70870972]",20.3401508331,0,2.0
25,"[ 582.42095947  617.82904053  165.78341675  549.73620605   13.36280727
   47.99510193  558.3694458   132.3842926   156.70870972  603.86743164]",20.1352901459,0,2.0
26,"[ 617.82904053  165.78341675  549.73620605   13.36280727   47.99510193
  558.3694458   132.3842926   156.70870972  603.86743164  149.02682495]",19.9309139252,0,2.0
27,"[ 165.78341675  549.73620605   13.36280727   47.99510193  558.3694458
  132.3842926   156.70870972  603.86743164  149.02682495  205.50891113]",19.6695041656,0,2.0
28,"[ 549.73620605   13.36280727   47.99510193  558.3694458   132.3842926
  156.70870972  603.86743164  149.02682495  205.50891113  784.33563232]",19.521440506,0,2.0
29,"[  13.36280727   47.99510193  558.3694458   132.3842926   156.70870972
  603.86743164  149.02682495  205.50891113  784.33563232  186.52365112]",19.2586040497,0,2.0
30,"[  47.99510193  558.3694458   132.3842926   156.70870972  603.86743164
  149.02682495  205.50891113  784.33563232  186.52365112  401.64266968]",19.0519638062,0,2.0
31,"[ 558.3694458   132.3842926   156.70870972  603.86743164  149.02682495
  205.50891113  784.33563232  186.52365112  401.64266968  106.86299133]",18.8458919525,0,2.0
32,"[ 132.3842926   156.70870972  603.86743164  149.02682495  205.50891113
  784.33563232  186.52365112  401.64266968  106.86299133  135.28572083]",18.6386909485,0,2.0
33,"[ 156.70870972  603.86743164  149.02682495  205.50891113  784.33563232
  186.52365112  401.64266968  106.86299133  135.28572083   56.89175034]",18.4323787689,0,2.0
34,"[ 603.86743164  149.02682495  205.50891113  784.33563232  186.52365112
  401.64266968  106.86299133  135.28572083   56.89175034  324.8137207 ]",18.2248764038,0,2.0
35,"[ 149.02682495  205.50891113  784.33563232  186.52365112  401.64266968
  106.86299133  135.28572083   56.89175034  324.8137207   204.26234436]",18.0182418823,0,2.0
36,"[ 205.50891113  784.33563232  186.52365112  401.64266968  106.86299133
  135.28572083   56.89175034  324.8137207   204.26234436   75.15747833]",17.8100223541,0,2.0
37,"[ 784.33563232  186.52365112  401.64266968  106.86299133  135.28572083
   56.89175034  324.8137207   204.26234436   75.15747833  262.91888428]",17.6024684906,0,2.0
38,"[ 186.52365112  401.64266968  106.86299133  135.28572083   56.89175034
  324.8137207   204.26234436   75.15747833  262.91888428  480.32171631]",17.3943157196,0,2.0
39,"[ 401.64266968  106.86299133  135.28572083   56.89175034  324.8137207
  204.26234436   75.15747833  262.91888428  480.32171631  400.36593628]",17.1871147156,0,2.0
40,"[ 106.86299133  135.28572083   56.89175034  324.8137207   204.26234436
   75.15747833  262.91888428  480.32171631  400.36593628  240.43934631]",16.9808330536,0,2.0
41,"[ 135.28572083   56.89175034  324.8137207   204.26234436   75.15747833
  262.91888428  480.32171631  400.36593628  240.43934631  107.77082825]",16.7748146057,0,2.0
42,"[  56.89175034  324.8137207   204.26234436   75.15747833  262.91888428
  480.32171631  400.36593628  240.43934631  107.77082825   43.65621185]",16.5678653717,0,2.0
43,"[ 324.8137207   204.26234436   75.15747833  262.91888428  480.32171631
  400.36593628  240.43934631  107.77082825   43.65621185   85.84301758]",16.3617019653,0,2.0
44,"[ 204.26234436   75.15747833  262.91888428  480.32171631  400.36593628
  240.43934631  107.77082825   43.65621185   85.84301758   28.88935471]",16.1549510956,0,2.0
