,activation_0,dist,id,vel
16,"[ 1240.34814453   781.35150146  1266.36279297   361.97338867   715.11859131
  1599.02124023  1143.79211426  1650.89331055   176.05508423  2139.42626953]",22.4840888977,0,2.0
17,"[  781.35150146  1266.36279297   361.97338867   715.11859131  1599.02124023
  1143.79211426  1650.89331055   176.05508423  2139.42626953   901.0723877 ]",22.2855262756,0,2.0
18,"[ 1266.36279297   361.97338867   715.11859131  1599.02124023  1143.79211426
  1650.89331055   176.05508423  2139.42626953   901.0723877   1159.67541504]",22.0841732025,0,2.0
19,"[  361.97338867   715.11859131  1599.02124023  1143.79211426  1650.89331055
   176.05508423  2139.42626953   901.0723877   1159.67541504   480.08670044]",21.8823509216,0,2.0
20,"[  715.11859131  1599.02124023  1143.79211426  1650.89331055   176.05508423
  2139.42626953   901.0723877   1159.67541504   480.08670044  1002.66381836]",21.6787834167,0,2.0
21,"[ 1599.02124023  1143.79211426  1650.89331055   176.05508423  2139.42626953
   901.0723877   1159.67541504   480.08670044  1002.66381836  1087.66699219]",21.4747676849,0,2.0
22,"[ 1143.79211426  1650.89331055   176.05508423  2139.42626953   901.0723877
  1159.67541504   480.08670044  1002.66381836  1087.66699219  1566.45849609]",21.2697982788,0,2.0
23,"[ 1650.89331055   176.05508423  2139.42626953   901.0723877   1159.67541504
   480.08670044  1002.66381836  1087.66699219  1566.45849609  1478.31958008]",21.0644016266,0,2.0
24,"[  176.05508423  2139.42626953   901.0723877   1159.67541504   480.08670044
  1002.66381836  1087.66699219  1566.45849609  1478.31958008   943.02813721]",20.8576107025,0,2.0
25,"[ 2139.42626953   901.0723877   1159.67541504   480.08670044  1002.66381836
  1087.66699219  1566.45849609  1478.31958008   943.02813721  1801.30358887]",20.650384903,0,2.0
26,"[  901.0723877   1159.67541504   480.08670044  1002.66381836  1087.66699219
  1566.45849609  1478.31958008   943.02813721  1801.30358887  1680.7479248 ]",20.4435844421,0,2.0
27,"[ 1159.67541504   480.08670044  1002.66381836  1087.66699219  1566.45849609
  1478.31958008   943.02813721  1801.30358887  1680.7479248    859.07794189]",20.237165451,0,2.0
28,"[  480.08670044  1002.66381836  1087.66699219  1566.45849609  1478.31958008
   943.02813721  1801.30358887  1680.7479248    859.07794189  1034.24304199]",20.0279865265,0,2.0
29,"[ 1002.66381836  1087.66699219  1566.45849609  1478.31958008   943.02813721
  1801.30358887  1680.7479248    859.07794189  1034.24304199   988.24835205]",19.8192539215,0,2.0
30,"[ 1087.66699219  1566.45849609  1478.31958008   943.02813721  1801.30358887
  1680.7479248    859.07794189  1034.24304199   988.24835205  1109.34997559]",19.6089286804,0,2.0
31,"[ 1566.45849609  1478.31958008   943.02813721  1801.30358887  1680.7479248
   859.07794189  1034.24304199   988.24835205  1109.34997559  1341.31286621]",19.3990726471,0,2.0
32,"[ 1478.31958008   943.02813721  1801.30358887  1680.7479248    859.07794189
  1034.24304199   988.24835205  1109.34997559  1341.31286621  1556.83972168]",19.1881752014,0,2.0
33,"[  943.02813721  1801.30358887  1680.7479248    859.07794189  1034.24304199
   988.24835205  1109.34997559  1341.31286621  1556.83972168  2002.51049805]",18.9779167175,0,2.0
34,"[ 1801.30358887  1680.7479248    859.07794189  1034.24304199   988.24835205
  1109.34997559  1341.31286621  1556.83972168  2002.51049805  1849.92138672]",18.5558776855,0,2.0
35,"[ 1680.7479248    859.07794189  1034.24304199   988.24835205  1109.34997559
  1341.31286621  1556.83972168  2002.51049805  1849.92138672  1473.40332031]",18.3446598053,0,2.0
36,"[  859.07794189  1034.24304199   988.24835205  1109.34997559  1341.31286621
  1556.83972168  2002.51049805  1849.92138672  1473.40332031  1398.17614746]",18.1336593628,0,2.0
