,activation_0,dist,id,vel
32,"[  830.36791992   922.05407715  1168.8951416    887.30932617   811.03570557
   844.96246338   986.0166626    777.89385986   615.69824219   603.0848999 ]",19.2410907745,0,2.0
33,"[  922.05407715  1168.8951416    887.30932617   811.03570557   844.96246338
   986.0166626    777.89385986   615.69824219   603.0848999   1843.86071777]",18.8262424469,0,2.0
34,"[ 1168.8951416    887.30932617   811.03570557   844.96246338   986.0166626
   777.89385986   615.69824219   603.0848999   1843.86071777  1231.18847656]",18.6352958679,0,2.0
35,"[  887.30932617   811.03570557   844.96246338   986.0166626    777.89385986
   615.69824219   603.0848999   1843.86071777  1231.18847656   662.48651123]",18.4100418091,0,2.0
36,"[  811.03570557   844.96246338   986.0166626    777.89385986   615.69824219
   603.0848999   1843.86071777  1231.18847656   662.48651123   417.53720093]",18.2024917603,0,2.0
37,"[  844.96246338   986.0166626    777.89385986   615.69824219   603.0848999
  1843.86071777  1231.18847656   662.48651123   417.53720093   518.5838623 ]",17.9934883118,0,2.0
38,"[  986.0166626    777.89385986   615.69824219   603.0848999   1843.86071777
  1231.18847656   662.48651123   417.53720093   518.5838623    210.83062744]",17.7852649689,0,2.0
39,"[  777.89385986   615.69824219   603.0848999   1843.86071777  1231.18847656
   662.48651123   417.53720093   518.5838623    210.83062744   518.99554443]",17.5926246643,0,2.0
40,"[  615.69824219   603.0848999   1843.86071777  1231.18847656   662.48651123
   417.53720093   518.5838623    210.83062744   518.99554443  1184.6418457 ]",17.3665752411,0,2.0
41,"[  603.0848999   1843.86071777  1231.18847656   662.48651123   417.53720093
   518.5838623    210.83062744   518.99554443  1184.6418457    695.3626709 ]",17.1569519043,0,2.0
42,"[ 1843.86071777  1231.18847656   662.48651123   417.53720093   518.5838623
   210.83062744   518.99554443  1184.6418457    695.3626709   1645.14367676]",16.7400074005,0,2.0
43,"[ 1231.18847656   662.48651123   417.53720093   518.5838623    210.83062744
   518.99554443  1184.6418457    695.3626709   1645.14367676   544.86480713]",16.53332901,0,2.0
44,"[  662.48651123   417.53720093   518.5838623    210.83062744   518.99554443
  1184.6418457    695.3626709   1645.14367676   544.86480713   191.50907898]",16.3241386414,0,2.0
45,"[  417.53720093   518.5838623    210.83062744   518.99554443  1184.6418457
   695.3626709   1645.14367676   544.86480713   191.50907898   505.53796387]",16.116268158,0,2.0
46,"[  518.5838623    210.83062744   518.99554443  1184.6418457    695.3626709
  1645.14367676   544.86480713   191.50907898   505.53796387   538.0904541 ]",15.906370163,0,2.0
47,"[  210.83062744   518.99554443  1184.6418457    695.3626709   1645.14367676
   544.86480713   191.50907898   505.53796387   538.0904541    758.1987915 ]",15.6977424622,0,2.0
48,"[  518.99554443  1184.6418457    695.3626709   1645.14367676   544.86480713
   191.50907898   505.53796387   538.0904541    758.1987915    274.0765686 ]",15.4881734848,0,2.0
49,"[ 1184.6418457    695.3626709   1645.14367676   544.86480713   191.50907898
   505.53796387   538.0904541    758.1987915    274.0765686    831.14276123]",15.279630661,0,2.0
50,"[  695.3626709   1645.14367676   544.86480713   191.50907898   505.53796387
   538.0904541    758.1987915    274.0765686    831.14276123   345.83666992]",15.0704936981,0,2.0
51,"[ 1645.14367676   544.86480713   191.50907898   505.53796387   538.0904541
   758.1987915    274.0765686    831.14276123   345.83666992   830.96746826]",14.8622455597,0,2.0
52,"[ 544.86480713  191.50907898  505.53796387  538.0904541   758.1987915
  274.0765686   831.14276123  345.83666992  830.96746826  195.25485229]",14.6529417038,0,2.0
53,"[ 191.50907898  505.53796387  538.0904541   758.1987915   274.0765686
  831.14276123  345.83666992  830.96746826  195.25485229  281.40786743]",14.4443836212,0,2.0
54,"[ 505.53796387  538.0904541   758.1987915   274.0765686   831.14276123
  345.83666992  830.96746826  195.25485229  281.40786743  268.15048218]",14.2351942062,0,2.0
55,"[ 538.0904541   758.1987915   274.0765686   831.14276123  345.83666992
  830.96746826  195.25485229  281.40786743  268.15048218  154.17126465]",14.0264444351,0,2.0
56,"[ 758.1987915   274.0765686   831.14276123  345.83666992  830.96746826
  195.25485229  281.40786743  268.15048218  154.17126465  470.1255188 ]",13.8194551468,0,2.0
57,"[ 274.0765686   831.14276123  345.83666992  830.96746826  195.25485229
  281.40786743  268.15048218  154.17126465  470.1255188   237.64215088]",13.6137332916,0,2.0
58,"[ 831.14276123  345.83666992  830.96746826  195.25485229  281.40786743
  268.15048218  154.17126465  470.1255188   237.64215088  107.35361481]",13.4052009583,0,2.0
59,"[ 345.83666992  830.96746826  195.25485229  281.40786743  268.15048218
  154.17126465  470.1255188   237.64215088  107.35361481  115.90133667]",13.19784832,0,2.0
60,"[ 830.96746826  195.25485229  281.40786743  268.15048218  154.17126465
  470.1255188   237.64215088  107.35361481  115.90133667  117.38969421]",12.9878053665,0,2.0
61,"[ 195.25485229  281.40786743  268.15048218  154.17126465  470.1255188
  237.64215088  107.35361481  115.90133667  117.38969421  216.58976746]",12.7793245316,0,2.0
62,"[ 281.40786743  268.15048218  154.17126465  470.1255188   237.64215088
  107.35361481  115.90133667  117.38969421  216.58976746   20.89671135]",12.5684566498,0,2.0
