,activation_0,activation_1,activation_2,dist,id,vel
49,"[ 6871.58398438  6871.58398438  7490.40087891  7490.40087891  7490.40087891
  7405.50585938  7405.50585938  7732.88574219  7732.88574219  7732.88574219]","[ 61.89635468  61.89635468  60.76408005  60.76408005  60.76408005
  35.89350128  35.89350128  28.22734451  28.22734451  28.22734451]","[ 2292.71948242  2292.71948242  2925.69067383  2925.69067383  2925.69067383
  2654.69750977  2654.69750977  2760.49291992  2760.49291992  2760.49291992]",14.0888195038,1,2.0
50,"[ 6871.58398438  7490.40087891  7490.40087891  7490.40087891  7405.50585938
  7405.50585938  7732.88574219  7732.88574219  7732.88574219  7155.66064453]","[ 61.89635468  60.76408005  60.76408005  60.76408005  35.89350128
  35.89350128  28.22734451  28.22734451  28.22734451  71.80187225]","[ 2292.71948242  2925.69067383  2925.69067383  2925.69067383  2654.69750977
  2654.69750977  2760.49291992  2760.49291992  2760.49291992  3219.95556641]",14.0217237473,1,2.0
51,"[ 7490.40087891  7490.40087891  7490.40087891  7405.50585938  7405.50585938
  7732.88574219  7732.88574219  7732.88574219  7155.66064453  7155.66064453]","[ 60.76408005  60.76408005  60.76408005  35.89350128  35.89350128
  28.22734451  28.22734451  28.22734451  71.80187225  71.80187225]","[ 2925.69067383  2925.69067383  2925.69067383  2654.69750977  2654.69750977
  2760.49291992  2760.49291992  2760.49291992  3219.95556641  3219.95556641]",13.9630117416,1,2.0
52,"[ 7490.40087891  7490.40087891  7405.50585938  7405.50585938  7732.88574219
  7732.88574219  7732.88574219  7155.66064453  7155.66064453  7155.66064453]","[ 60.76408005  60.76408005  35.89350128  35.89350128  28.22734451
  28.22734451  28.22734451  71.80187225  71.80187225  71.80187225]","[ 2925.69067383  2925.69067383  2654.69750977  2654.69750977  2760.49291992
  2760.49291992  2760.49291992  3219.95556641  3219.95556641  3219.95556641]",13.8794622421,1,2.0
53,"[ 7490.40087891  7405.50585938  7405.50585938  7732.88574219  7732.88574219
  7732.88574219  7155.66064453  7155.66064453  7155.66064453  7141.25537109]","[ 60.76408005  35.89350128  35.89350128  28.22734451  28.22734451
  28.22734451  71.80187225  71.80187225  71.80187225  47.99177933]","[ 2925.69067383  2654.69750977  2654.69750977  2760.49291992  2760.49291992
  2760.49291992  3219.95556641  3219.95556641  3219.95556641  3145.87866211]",13.8120470047,1,2.0
54,"[ 7405.50585938  7405.50585938  7732.88574219  7732.88574219  7732.88574219
  7155.66064453  7155.66064453  7155.66064453  7141.25537109  7141.25537109]","[ 35.89350128  35.89350128  28.22734451  28.22734451  28.22734451
  71.80187225  71.80187225  71.80187225  47.99177933  47.99177933]","[ 2654.69750977  2654.69750977  2760.49291992  2760.49291992  2760.49291992
  3219.95556641  3219.95556641  3219.95556641  3145.87866211  3145.87866211]",13.7526798248,1,2.0
55,"[ 7405.50585938  7732.88574219  7732.88574219  7732.88574219  7155.66064453
  7155.66064453  7155.66064453  7141.25537109  7141.25537109  7141.25537109]","[ 35.89350128  28.22734451  28.22734451  28.22734451  71.80187225
  71.80187225  71.80187225  47.99177933  47.99177933  47.99177933]","[ 2654.69750977  2760.49291992  2760.49291992  2760.49291992  3219.95556641
  3219.95556641  3219.95556641  3145.87866211  3145.87866211  3145.87866211]",13.6682977676,1,2.0
56,"[ 7732.88574219  7732.88574219  7732.88574219  7155.66064453  7155.66064453
  7155.66064453  7141.25537109  7141.25537109  7141.25537109  7663.52197266]","[ 28.22734451  28.22734451  28.22734451  71.80187225  71.80187225
  71.80187225  47.99177933  47.99177933  47.99177933  35.02507019]","[ 2760.49291992  2760.49291992  2760.49291992  3219.95556641  3219.95556641
  3219.95556641  3145.87866211  3145.87866211  3145.87866211  2990.25170898]",13.5423088074,1,2.0
57,"[ 7732.88574219  7732.88574219  7155.66064453  7155.66064453  7155.66064453
  7141.25537109  7141.25537109  7141.25537109  7663.52197266  7663.52197266]","[ 28.22734451  28.22734451  71.80187225  71.80187225  71.80187225
  47.99177933  47.99177933  47.99177933  35.02507019  35.02507019]","[ 2760.49291992  2760.49291992  3219.95556641  3219.95556641  3219.95556641
  3145.87866211  3145.87866211  3145.87866211  2990.25170898  2990.25170898]",13.4586677551,1,2.0
58,"[ 7732.88574219  7155.66064453  7155.66064453  7155.66064453  7141.25537109
  7141.25537109  7141.25537109  7663.52197266  7663.52197266  7586.86376953]","[ 28.22734451  71.80187225  71.80187225  71.80187225  47.99177933
  47.99177933  47.99177933  35.02507019  35.02507019  56.80003357]","[ 2760.49291992  3219.95556641  3219.95556641  3219.95556641  3145.87866211
  3145.87866211  3145.87866211  2990.25170898  2990.25170898  4165.78613281]",13.391702652,1,2.0
