,activation_0,activation_1,activation_2,dist,id,vel
15,"[ 5529.49755859  6051.109375    6051.109375    4689.86523438  4689.86523438
  4689.86523438  4689.86523438  4689.86523438  9307.33300781  9307.33300781]","[ 100.21414185   70.58149719   70.58149719   73.13264465   73.13264465
   73.13264465   73.13264465   73.13264465  110.74151611  110.74151611]","[ 3744.11181641  2945.16552734  2945.16552734  3667.09912109  3667.09912109
  3667.09912109  3667.09912109  3667.09912109  4727.20068359  4727.20068359]",16.9243297577,1,2.0
16,"[ 6051.109375    6051.109375    4689.86523438  4689.86523438  4689.86523438
  4689.86523438  4689.86523438  9307.33300781  9307.33300781  9307.33300781]","[  70.58149719   70.58149719   73.13264465   73.13264465   73.13264465
   73.13264465   73.13264465  110.74151611  110.74151611  110.74151611]","[ 2945.16552734  2945.16552734  3667.09912109  3667.09912109  3667.09912109
  3667.09912109  3667.09912109  4727.20068359  4727.20068359  4727.20068359]",16.7847900391,1,2.0
17,"[ 6051.109375    4689.86523438  4689.86523438  4689.86523438  4689.86523438
  4689.86523438  9307.33300781  9307.33300781  9307.33300781  6161.34033203]","[  70.58149719   73.13264465   73.13264465   73.13264465   73.13264465
   73.13264465  110.74151611  110.74151611  110.74151611   16.89461327]","[ 2945.16552734  3667.09912109  3667.09912109  3667.09912109  3667.09912109
  3667.09912109  4727.20068359  4727.20068359  4727.20068359  3201.87402344]",16.7192955017,1,2.0
18,"[ 4689.86523438  4689.86523438  4689.86523438  4689.86523438  4689.86523438
  9307.33300781  9307.33300781  9307.33300781  6161.34033203  6161.34033203]","[  73.13264465   73.13264465   73.13264465   73.13264465   73.13264465
  110.74151611  110.74151611  110.74151611   16.89461327   16.89461327]","[ 3667.09912109  3667.09912109  3667.09912109  3667.09912109  3667.09912109
  4727.20068359  4727.20068359  4727.20068359  3201.87402344  3201.87402344]",16.662071228,1,2.0
19,"[ 4689.86523438  4689.86523438  4689.86523438  4689.86523438  9307.33300781
  9307.33300781  9307.33300781  6161.34033203  6161.34033203  5793.60351562]","[  73.13264465   73.13264465   73.13264465   73.13264465  110.74151611
  110.74151611  110.74151611   16.89461327   16.89461327   35.02305222]","[ 3667.09912109  3667.09912109  3667.09912109  3667.09912109  4727.20068359
  4727.20068359  4727.20068359  3201.87402344  3201.87402344  2650.70605469]",16.58020401,1,2.0
20,"[ 4689.86523438  4689.86523438  4689.86523438  9307.33300781  9307.33300781
  9307.33300781  6161.34033203  6161.34033203  5793.60351562  5793.60351562]","[  73.13264465   73.13264465   73.13264465  110.74151611  110.74151611
  110.74151611   16.89461327   16.89461327   35.02305222   35.02305222]","[ 3667.09912109  3667.09912109  3667.09912109  4727.20068359  4727.20068359
  4727.20068359  3201.87402344  3201.87402344  2650.70605469  2650.70605469]",16.4572753906,1,2.0
21,"[ 4689.86523438  4689.86523438  9307.33300781  9307.33300781  9307.33300781
  6161.34033203  6161.34033203  5793.60351562  5793.60351562  5793.60351562]","[  73.13264465   73.13264465  110.74151611  110.74151611  110.74151611
   16.89461327   16.89461327   35.02305222   35.02305222   35.02305222]","[ 3667.09912109  3667.09912109  4727.20068359  4727.20068359  4727.20068359
  3201.87402344  3201.87402344  2650.70605469  2650.70605469  2650.70605469]",16.3752937317,1,2.0
22,"[ 4689.86523438  9307.33300781  9307.33300781  9307.33300781  6161.34033203
  6161.34033203  5793.60351562  5793.60351562  5793.60351562  5593.07226562]","[  73.13264465  110.74151611  110.74151611  110.74151611   16.89461327
   16.89461327   35.02305222   35.02305222   35.02305222   29.70353699]","[ 3667.09912109  4727.20068359  4727.20068359  4727.20068359  3201.87402344
  3201.87402344  2650.70605469  2650.70605469  2650.70605469  2707.12768555]",16.3096618652,1,2.0
23,"[ 9307.33300781  9307.33300781  9307.33300781  6161.34033203  6161.34033203
  5793.60351562  5793.60351562  5793.60351562  5593.07226562  5593.07226562]","[ 110.74151611  110.74151611  110.74151611   16.89461327   16.89461327
   35.02305222   35.02305222   35.02305222   29.70353699   29.70353699]","[ 4727.20068359  4727.20068359  4727.20068359  3201.87402344  3201.87402344
  2650.70605469  2650.70605469  2650.70605469  2707.12768555  2707.12768555]",16.252248764,1,2.0
24,"[ 9307.33300781  9307.33300781  6161.34033203  6161.34033203  5793.60351562
  5793.60351562  5793.60351562  5593.07226562  5593.07226562  6420.36669922]","[ 110.74151611  110.74151611   16.89461327   16.89461327   35.02305222
   35.02305222   35.02305222   29.70353699   29.70353699   51.84886551]","[ 4727.20068359  4727.20068359  3201.87402344  3201.87402344  2650.70605469
  2650.70605469  2650.70605469  2707.12768555  2707.12768555  2209.92993164]",16.1701927185,1,2.0
25,"[ 9307.33300781  6161.34033203  6161.34033203  5793.60351562  5793.60351562
  5793.60351562  5593.07226562  5593.07226562  6420.36669922  6420.36669922]","[ 110.74151611   16.89461327   16.89461327   35.02305222   35.02305222
   35.02305222   29.70353699   29.70353699   51.84886551   51.84886551]","[ 4727.20068359  3201.87402344  3201.87402344  2650.70605469  2650.70605469
  2650.70605469  2707.12768555  2707.12768555  2209.92993164  2209.92993164]",16.1045341492,1,2.0
26,"[ 6161.34033203  6161.34033203  5793.60351562  5793.60351562  5793.60351562
  5593.07226562  5593.07226562  6420.36669922  6420.36669922  6420.36669922]","[ 16.89461327  16.89461327  35.02305222  35.02305222  35.02305222
  29.70353699  29.70353699  51.84886551  51.84886551  51.84886551]","[ 3201.87402344  3201.87402344  2650.70605469  2650.70605469  2650.70605469
  2707.12768555  2707.12768555  2209.92993164  2209.92993164  2209.92993164]",15.9649829865,1,2.0
27,"[ 6161.34033203  5793.60351562  5793.60351562  5793.60351562  5593.07226562
  5593.07226562  6420.36669922  6420.36669922  6420.36669922  5963.94580078]","[ 16.89461327  35.02305222  35.02305222  35.02305222  29.70353699
  29.70353699  51.84886551  51.84886551  51.84886551  40.12299728]","[ 3201.87402344  2650.70605469  2650.70605469  2650.70605469  2707.12768555
  2707.12768555  2209.92993164  2209.92993164  2209.92993164  3737.20166016]",15.8993740082,1,2.0
28,"[ 5793.60351562  5793.60351562  5793.60351562  5593.07226562  5593.07226562
  6420.36669922  6420.36669922  6420.36669922  5963.94580078  5963.94580078]","[ 35.02305222  35.02305222  35.02305222  29.70353699  29.70353699
  51.84886551  51.84886551  51.84886551  40.12299728  40.12299728]","[ 2650.70605469  2650.70605469  2650.70605469  2707.12768555  2707.12768555
  2209.92993164  2209.92993164  2209.92993164  3737.20166016  3737.20166016]",15.8420152664,1,2.0
29,"[ 5793.60351562  5793.60351562  5593.07226562  5593.07226562  6420.36669922
  6420.36669922  6420.36669922  5963.94580078  5963.94580078  5963.94580078]","[ 35.02305222  35.02305222  29.70353699  29.70353699  51.84886551
  51.84886551  51.84886551  40.12299728  40.12299728  40.12299728]","[ 2650.70605469  2650.70605469  2707.12768555  2707.12768555  2209.92993164
  2209.92993164  2209.92993164  3737.20166016  3737.20166016  3737.20166016]",15.760061264,1,2.0
30,"[ 5793.60351562  5593.07226562  5593.07226562  6420.36669922  6420.36669922
  6420.36669922  5963.94580078  5963.94580078  5963.94580078  6347.56982422]","[ 35.02305222  29.70353699  29.70353699  51.84886551  51.84886551
  51.84886551  40.12299728  40.12299728  40.12299728  47.06605911]","[ 2650.70605469  2707.12768555  2707.12768555  2209.92993164  2209.92993164
  2209.92993164  3737.20166016  3737.20166016  3737.20166016  2969.28759766]",15.6944856644,1,2.0
