,activation_0,activation_1,activation_2,dist,id,vel
25,"[ 3413.08935547  3413.08935547   538.25939941   538.25939941   538.25939941
   247.29191589   247.29191589    46.23675919    46.23675919    46.23675919]","[ 509.93988037  509.93988037  157.6383667   157.6383667   157.6383667
  173.07296753  173.07296753  483.64730835  483.64730835  483.64730835]","[ 14672.08398438  14672.08398438   4478.68994141   4478.68994141
   4478.68994141   9808.00976562   9808.00976562    827.99298096
    827.99298096    827.99298096]",24.0031394958,0,2.0
26,"[ 3413.08935547   538.25939941   538.25939941   538.25939941   247.29191589
   247.29191589    46.23675919    46.23675919    46.23675919  4160.49804688]","[ 509.93988037  157.6383667   157.6383667   157.6383667   173.07296753
  173.07296753  483.64730835  483.64730835  483.64730835  612.25018311]","[ 14672.08398438   4478.68994141   4478.68994141   4478.68994141
   9808.00976562   9808.00976562    827.99298096    827.99298096
    827.99298096    608.762146  ]",23.9473266602,0,2.0
27,"[  538.25939941   538.25939941   538.25939941   247.29191589   247.29191589
    46.23675919    46.23675919    46.23675919  4160.49804688  4160.49804688]","[ 157.6383667   157.6383667   157.6383667   173.07296753  173.07296753
  483.64730835  483.64730835  483.64730835  612.25018311  612.25018311]","[ 4478.68994141  4478.68994141  4478.68994141  9808.00976562  9808.00976562
   827.99298096   827.99298096   827.99298096   608.762146     608.762146  ]",23.8273696899,0,2.0
28,"[  538.25939941   538.25939941   247.29191589   247.29191589    46.23675919
    46.23675919    46.23675919  4160.49804688  4160.49804688  2761.48168945]","[ 157.6383667   157.6383667   173.07296753  173.07296753  483.64730835
  483.64730835  483.64730835  612.25018311  612.25018311  210.35183716]","[ 4478.68994141  4478.68994141  9808.00976562  9808.00976562   827.99298096
   827.99298096   827.99298096   608.762146     608.762146     978.73522949]",23.7705593109,0,2.0
29,"[  538.25939941   247.29191589   247.29191589    46.23675919    46.23675919
    46.23675919  4160.49804688  4160.49804688  2761.48168945  2761.48168945]","[ 157.6383667   173.07296753  173.07296753  483.64730835  483.64730835
  483.64730835  612.25018311  612.25018311  210.35183716  210.35183716]","[ 4478.68994141  9808.00976562  9808.00976562   827.99298096   827.99298096
   827.99298096   608.762146     608.762146     978.73522949   978.73522949]",23.7196350098,0,2.0
30,"[  247.29191589   247.29191589    46.23675919    46.23675919    46.23675919
  4160.49804688  4160.49804688  2761.48168945  2761.48168945  2761.48168945]","[ 173.07296753  173.07296753  483.64730835  483.64730835  483.64730835
  612.25018311  612.25018311  210.35183716  210.35183716  210.35183716]","[ 9808.00976562  9808.00976562   827.99298096   827.99298096   827.99298096
   608.762146     608.762146     978.73522949   978.73522949   978.73522949]",23.6467761993,0,2.0
31,"[  247.29191589    46.23675919    46.23675919    46.23675919  4160.49804688
  4160.49804688  2761.48168945  2761.48168945  2761.48168945  2813.77563477]","[ 173.07296753  483.64730835  483.64730835  483.64730835  612.25018311
  612.25018311  210.35183716  210.35183716  210.35183716  295.96865845]","[ 9808.00976562   827.99298096   827.99298096   827.99298096   608.762146
   608.762146     978.73522949   978.73522949   978.73522949  5361.76513672]",23.5883197784,0,2.0
32,"[   46.23675919    46.23675919    46.23675919  4160.49804688  4160.49804688
  2761.48168945  2761.48168945  2761.48168945  2813.77563477  2813.77563477]","[ 483.64730835  483.64730835  483.64730835  612.25018311  612.25018311
  210.35183716  210.35183716  210.35183716  295.96865845  295.96865845]","[  827.99298096   827.99298096   827.99298096   608.762146     608.762146
   978.73522949   978.73522949   978.73522949  5361.76513672  5361.76513672]",23.5368080139,0,2.0
33,"[   46.23675919    46.23675919  4160.49804688  4160.49804688  2761.48168945
  2761.48168945  2761.48168945  2813.77563477  2813.77563477  2813.77563477]","[ 483.64730835  483.64730835  612.25018311  612.25018311  210.35183716
  210.35183716  210.35183716  295.96865845  295.96865845  295.96865845]","[  827.99298096   827.99298096   608.762146     608.762146     978.73522949
   978.73522949   978.73522949  5361.76513672  5361.76513672  5361.76513672]",23.463098526,0,2.0
34,"[   46.23675919  4160.49804688  4160.49804688  2761.48168945  2761.48168945
  2761.48168945  2813.77563477  2813.77563477  2813.77563477  2813.77563477]","[ 483.64730835  612.25018311  612.25018311  210.35183716  210.35183716
  210.35183716  295.96865845  295.96865845  295.96865845  295.96865845]","[  827.99298096   608.762146     608.762146     978.73522949   978.73522949
   978.73522949  5361.76513672  5361.76513672  5361.76513672  5361.76513672]",23.4039497375,0,2.0
