,activation_0,activation_1,activation_2,dist,id,vel
31,"[ 2489.85522461  2489.85522461  3505.7487793   3505.7487793   3505.7487793
  2465.35888672  2465.35888672  3473.50097656  3473.50097656  3473.50097656]","[ 34.25738525  34.25738525  52.33534622  52.33534622  52.33534622
  22.0958271   22.0958271    6.0864377    6.0864377    6.0864377 ]","[ 3067.67163086  3067.67163086  2611.72607422  2611.72607422  2611.72607422
  2922.43334961  2922.43334961  3424.16479492  3424.16479492  3424.16479492]",15.1994829178,1,2.0
32,"[ 2489.85522461  3505.7487793   3505.7487793   3505.7487793   2465.35888672
  2465.35888672  3473.50097656  3473.50097656  3473.50097656  3996.49023438]","[ 34.25738525  52.33534622  52.33534622  52.33534622  22.0958271
  22.0958271    6.0864377    6.0864377    6.0864377    8.88767338]","[ 3067.67163086  2611.72607422  2611.72607422  2611.72607422  2922.43334961
  2922.43334961  3424.16479492  3424.16479492  3424.16479492  3521.36352539]",15.1165924072,1,2.0
33,"[ 3505.7487793   3505.7487793   3505.7487793   2465.35888672  2465.35888672
  3473.50097656  3473.50097656  3473.50097656  3996.49023438  3996.49023438]","[ 52.33534622  52.33534622  52.33534622  22.0958271   22.0958271
   6.0864377    6.0864377    6.0864377    8.88767338   8.88767338]","[ 2611.72607422  2611.72607422  2611.72607422  2922.43334961  2922.43334961
  3424.16479492  3424.16479492  3424.16479492  3521.36352539  3521.36352539]",15.0504789352,1,2.0
34,"[ 3505.7487793   3505.7487793   2465.35888672  2465.35888672  3473.50097656
  3473.50097656  3473.50097656  3996.49023438  3996.49023438  3389.33813477]","[  52.33534622   52.33534622   22.0958271    22.0958271     6.0864377
    6.0864377     6.0864377     8.88767338    8.88767338  119.49983215]","[ 2611.72607422  2611.72607422  2922.43334961  2922.43334961  3424.16479492
  3424.16479492  3424.16479492  3521.36352539  3521.36352539  2166.39697266]",14.9089164734,1,2.0
35,"[ 3505.7487793   2465.35888672  2465.35888672  3473.50097656  3473.50097656
  3473.50097656  3996.49023438  3996.49023438  3389.33813477  3389.33813477]","[  52.33534622   22.0958271    22.0958271     6.0864377     6.0864377
    6.0864377     8.88767338    8.88767338  119.49983215  119.49983215]","[ 2611.72607422  2922.43334961  2922.43334961  3424.16479492  3424.16479492
  3424.16479492  3521.36352539  3521.36352539  2166.39697266  2166.39697266]",14.8422451019,1,2.0
36,"[ 2465.35888672  2465.35888672  3473.50097656  3473.50097656  3473.50097656
  3996.49023438  3996.49023438  3389.33813477  3389.33813477  2587.65283203]","[  22.0958271    22.0958271     6.0864377     6.0864377     6.0864377
    8.88767338    8.88767338  119.49983215  119.49983215   76.78953552]","[ 2922.43334961  2922.43334961  3424.16479492  3424.16479492  3424.16479492
  3521.36352539  3521.36352539  2166.39697266  2166.39697266  2956.48901367]",14.7838668823,1,2.0
37,"[ 2465.35888672  3473.50097656  3473.50097656  3473.50097656  3996.49023438
  3996.49023438  3389.33813477  3389.33813477  2587.65283203  2587.65283203]","[  22.0958271     6.0864377     6.0864377     6.0864377     8.88767338
    8.88767338  119.49983215  119.49983215   76.78953552   76.78953552]","[ 2922.43334961  3424.16479492  3424.16479492  3424.16479492  3521.36352539
  3521.36352539  2166.39697266  2166.39697266  2956.48901367  2956.48901367]",14.7008695602,1,2.0
38,"[ 3473.50097656  3473.50097656  3473.50097656  3996.49023438  3996.49023438
  3389.33813477  3389.33813477  2587.65283203  2587.65283203  2587.65283203]","[   6.0864377     6.0864377     6.0864377     8.88767338    8.88767338
  119.49983215  119.49983215   76.78953552   76.78953552   76.78953552]","[ 3424.16479492  3424.16479492  3424.16479492  3521.36352539  3521.36352539
  2166.39697266  2166.39697266  2956.48901367  2956.48901367  2956.48901367]",14.5767793655,1,2.0
39,"[ 3473.50097656  3473.50097656  3996.49023438  3996.49023438  3389.33813477
  3389.33813477  2587.65283203  2587.65283203  2587.65283203  3622.06811523]","[   6.0864377     6.0864377     8.88767338    8.88767338  119.49983215
  119.49983215   76.78953552   76.78953552   76.78953552   10.78832912]","[ 3424.16479492  3424.16479492  3521.36352539  3521.36352539  2166.39697266
  2166.39697266  2956.48901367  2956.48901367  2956.48901367  2718.55957031]",14.4933395386,1,2.0
40,"[ 3473.50097656  3996.49023438  3996.49023438  3389.33813477  3389.33813477
  2587.65283203  2587.65283203  2587.65283203  3622.06811523  3622.06811523]","[   6.0864377     8.88767338    8.88767338  119.49983215  119.49983215
   76.78953552   76.78953552   76.78953552   10.78832912   10.78832912]","[ 3424.16479492  3521.36352539  3521.36352539  2166.39697266  2166.39697266
  2956.48901367  2956.48901367  2956.48901367  2718.55957031  2718.55957031]",14.4266176224,1,2.0
