,activation_0,activation_1,activation_2,dist,id,vel
27,"[ 2612.82080078  2612.82080078  2404.98168945  2404.98168945  3230.27514648
  3230.27514648  3230.27514648  3260.62426758  3260.62426758  2612.52734375]","[  75.52692413   56.94163132   56.94163132   56.94163132  122.61629486
  122.61629486  122.61629486   35.60634232   35.60634232   75.21530914]","[ 6062.42578125  6062.42578125  5833.70263672  5833.70263672  5522.42675781
  5522.42675781  5522.42675781  6016.52099609  6016.52099609  6282.83203125]",15.6702594757,1,2.0
28,"[ 2612.82080078  2404.98168945  2404.98168945  3230.27514648  3230.27514648
  3230.27514648  3260.62426758  3260.62426758  2612.52734375  2612.52734375]","[  56.94163132   56.94163132   56.94163132  122.61629486  122.61629486
  122.61629486   35.60634232   35.60634232   75.21530914   75.21530914]","[ 6062.42578125  5833.70263672  5833.70263672  5522.42675781  5522.42675781
  5522.42675781  6016.52099609  6016.52099609  6282.83203125  6282.83203125]",15.6033430099,1,2.0
29,"[ 2404.98168945  2404.98168945  3230.27514648  3230.27514648  3230.27514648
  3260.62426758  3260.62426758  2612.52734375  2612.52734375  2612.52734375]","[  56.94163132   56.94163132  122.61629486  122.61629486  122.61629486
   35.60634232   35.60634232   75.21530914   75.21530914   75.21530914]","[ 5833.70263672  5833.70263672  5522.42675781  5522.42675781  5522.42675781
  6016.52099609  6016.52099609  6282.83203125  6282.83203125  6282.83203125]",15.5447864532,1,2.0
30,"[ 2404.98168945  3230.27514648  3230.27514648  3230.27514648  3260.62426758
  3260.62426758  2612.52734375  2612.52734375  2612.52734375  3156.2734375 ]","[  56.94163132  122.61629486  122.61629486  122.61629486   35.60634232
   35.60634232   75.21530914   75.21530914   75.21530914   61.90776062]","[ 5833.70263672  5522.42675781  5522.42675781  5522.42675781  6016.52099609
  6016.52099609  6282.83203125  6282.83203125  6282.83203125  5674.03369141]",15.4613847733,1,2.0
31,"[ 3230.27514648  3230.27514648  3230.27514648  3260.62426758  3260.62426758
  2612.52734375  2612.52734375  2612.52734375  3156.2734375   3156.2734375 ]","[ 122.61629486  122.61629486  122.61629486   35.60634232   35.60634232
   75.21530914   75.21530914   75.21530914   61.90776062   61.90776062]","[ 5522.42675781  5522.42675781  5522.42675781  6016.52099609  6016.52099609
  6282.83203125  6282.83203125  6282.83203125  5674.03369141  5674.03369141]",15.3948507309,1,2.0
32,"[ 3230.27514648  3230.27514648  3260.62426758  3260.62426758  2612.52734375
  2612.52734375  2612.52734375  3156.2734375   3156.2734375   4700.35351562]","[ 122.61629486  122.61629486   35.60634232   35.60634232   75.21530914
   75.21530914   75.21530914   61.90776062   61.90776062   48.83341599]","[ 5522.42675781  5522.42675781  6016.52099609  6016.52099609  6282.83203125
  6282.83203125  6282.83203125  5674.03369141  5674.03369141  6531.86523438]",15.2525243759,1,2.0
33,"[ 3230.27514648  3260.62426758  3260.62426758  2612.52734375  2612.52734375
  2612.52734375  3156.2734375   3156.2734375   4700.35351562  4700.35351562]","[ 122.61629486   35.60634232   35.60634232   75.21530914   75.21530914
   75.21530914   61.90776062   61.90776062   48.83341599   48.83341599]","[ 5522.42675781  6016.52099609  6016.52099609  6282.83203125  6282.83203125
  6282.83203125  5674.03369141  5674.03369141  6531.86523438  6531.86523438]",15.185503006,1,2.0
34,"[ 3260.62426758  3260.62426758  2612.52734375  2612.52734375  2612.52734375
  3156.2734375   3156.2734375   4700.35351562  4700.35351562  4700.35351562]","[ 35.60634232  35.60634232  75.21530914  75.21530914  75.21530914
  61.90776062  61.90776062  48.83341599  48.83341599  48.83341599]","[ 6016.52099609  6016.52099609  6282.83203125  6282.83203125  6282.83203125
  5674.03369141  5674.03369141  6531.86523438  6531.86523438  6531.86523438]",15.126832962,1,2.0
35,"[ 3260.62426758  2612.52734375  2612.52734375  2612.52734375  3156.2734375
  3156.2734375   4700.35351562  4700.35351562  4700.35351562  4020.52783203]","[ 35.60634232  75.21530914  75.21530914  75.21530914  61.90776062
  61.90776062  48.83341599  48.83341599  48.83341599  69.80664825]","[ 6016.52099609  6282.83203125  6282.83203125  6282.83203125  5674.03369141
  5674.03369141  6531.86523438  6531.86523438  6531.86523438  5388.48828125]",15.0434207916,1,2.0
36,"[ 2612.52734375  2612.52734375  2612.52734375  3156.2734375   3156.2734375
  4700.35351562  4700.35351562  4700.35351562  4020.52783203  4020.52783203]","[ 75.21530914  75.21530914  75.21530914  61.90776062  61.90776062
  48.83341599  48.83341599  48.83341599  69.80664825  69.80664825]","[ 6282.83203125  6282.83203125  6282.83203125  5674.03369141  5674.03369141
  6531.86523438  6531.86523438  6531.86523438  5388.48828125  5388.48828125]",14.9769029617,1,2.0
