,activation,dist,id,vel
14,"[ 1964.19335938   697.0489502   1734.7310791   1112.22888184  1499.71472168
   727.02661133   316.42312622   296.04898071   237.72383118   520.50012207]",23.0441818237,2,2.0
15,"[  697.0489502   1734.7310791   1112.22888184  1499.71472168   727.02661133
   316.42312622   296.04898071   237.72383118   520.50012207   506.40576172]",22.8505191803,2,2.0
16,"[ 1734.7310791   1112.22888184  1499.71472168   727.02661133   316.42312622
   296.04898071   237.72383118   520.50012207   506.40576172  -202.35430908]",22.6549015045,2,2.0
17,"[ 1112.22888184  1499.71472168   727.02661133   316.42312622   296.04898071
   237.72383118   520.50012207   506.40576172  -202.35430908   272.24414062]",22.4585857391,2,2.0
18,"[ 1499.71472168   727.02661133   316.42312622   296.04898071   237.72383118
   520.50012207   506.40576172  -202.35430908   272.24414062   975.75354004]",22.2618618011,2,2.0
19,"[ 727.02661133  316.42312622  296.04898071  237.72383118  520.50012207
  506.40576172 -202.35430908  272.24414062  975.75354004  302.90023804]",22.0613174438,2,2.0
20,"[ 316.42312622  296.04898071  237.72383118  520.50012207  506.40576172
 -202.35430908  272.24414062  975.75354004  302.90023804  613.14764404]",21.8603363037,2,2.0
21,"[ 296.04898071  237.72383118  520.50012207  506.40576172 -202.35430908
  272.24414062  975.75354004  302.90023804  613.14764404  764.98455811]",21.6562976837,2,2.0
22,"[ 237.72383118  520.50012207  506.40576172 -202.35430908  272.24414062
  975.75354004  302.90023804  613.14764404  764.98455811  474.90542603]",21.4523487091,2,2.0
23,"[ 520.50012207  506.40576172 -202.35430908  272.24414062  975.75354004
  302.90023804  613.14764404  764.98455811  474.90542603  574.28210449]",21.2460422516,2,2.0
24,"[ 506.40576172 -202.35430908  272.24414062  975.75354004  302.90023804
  613.14764404  764.98455811  474.90542603  574.28210449  552.64312744]",21.0397491455,2,2.0
25,"[-202.35430908  272.24414062  975.75354004  302.90023804  613.14764404
  764.98455811  474.90542603  574.28210449  552.64312744  558.55578613]",20.8318748474,2,2.0
26,"[ 272.24414062  975.75354004  302.90023804  613.14764404  764.98455811
  474.90542603  574.28210449  552.64312744  558.55578613  266.99731445]",20.6239585876,2,2.0
27,"[ 975.75354004  302.90023804  613.14764404  764.98455811  474.90542603
  574.28210449  552.64312744  558.55578613  266.99731445  122.74677277]",20.4147644043,2,2.0
28,"[ 302.90023804  613.14764404  764.98455811  474.90542603  574.28210449
  552.64312744  558.55578613  266.99731445  122.74677277  629.82592773]",20.2053432465,2,2.0
29,"[ 613.14764404  764.98455811  474.90542603  574.28210449  552.64312744
  558.55578613  266.99731445  122.74677277  629.82592773  505.38070679]",19.9967594147,2,2.0
30,"[ 764.98455811  474.90542603  574.28210449  552.64312744  558.55578613
  266.99731445  122.74677277  629.82592773  505.38070679  547.80633545]",19.7889766693,2,2.0
31,"[ 474.90542603  574.28210449  552.64312744  558.55578613  266.99731445
  122.74677277  629.82592773  505.38070679  547.80633545  793.39318848]",19.5786495209,2,2.0
32,"[ 574.28210449  552.64312744  558.55578613  266.99731445  122.74677277
  629.82592773  505.38070679  547.80633545  793.39318848  345.72164917]",19.369386673,2,2.0
33,"[ 552.64312744  558.55578613  266.99731445  122.74677277  629.82592773
  505.38070679  547.80633545  793.39318848  345.72164917  288.64892578]",19.1582393646,2,2.0
34,"[ 558.55578613  266.99731445  122.74677277  629.82592773  505.38070679
  547.80633545  793.39318848  345.72164917  288.64892578  777.68841553]",18.948097229,2,2.0
35,"[ 266.99731445  122.74677277  629.82592773  505.38070679  547.80633545
  793.39318848  345.72164917  288.64892578  777.68841553  573.93096924]",18.7361507416,2,2.0
36,"[ 122.74677277  629.82592773  505.38070679  547.80633545  793.39318848
  345.72164917  288.64892578  777.68841553  573.93096924  355.23474121]",18.5248737335,2,2.0
