,activation,dist,id,vel
30,"[  654.46038818  1622.10827637   696.36340332   911.41650391  1264.06530762
   894.6149292    625.65130615   872.6161499    831.84521484   790.71942139]",19.7280464172,2,2.0
31,"[ 1622.10827637   696.36340332   911.41650391  1264.06530762   894.6149292
   625.65130615   872.6161499    831.84521484   790.71942139   510.33636475]",19.5251312256,2,2.0
32,"[  696.36340332   911.41650391  1264.06530762   894.6149292    625.65130615
   872.6161499    831.84521484   790.71942139   510.33636475  1112.28381348]",19.3219604492,2,2.0
33,"[  911.41650391  1264.06530762   894.6149292    625.65130615   872.6161499
   831.84521484   790.71942139   510.33636475  1112.28381348   128.23597717]",18.9155292511,2,2.0
34,"[ 1264.06530762   894.6149292    625.65130615   872.6161499    831.84521484
   790.71942139   510.33636475  1112.28381348   128.23597717   535.42193604]",18.7116260529,2,2.0
35,"[  894.6149292    625.65130615   872.6161499    831.84521484   790.71942139
   510.33636475  1112.28381348   128.23597717   535.42193604   194.64813232]",18.5071697235,2,2.0
36,"[  625.65130615   872.6161499    831.84521484   790.71942139   510.33636475
  1112.28381348   128.23597717   535.42193604   194.64813232   930.50213623]",18.3020057678,2,2.0
37,"[  872.6161499    831.84521484   790.71942139   510.33636475  1112.28381348
   128.23597717   535.42193604   194.64813232   930.50213623  1130.33435059]",18.0963077545,2,2.0
38,"[  831.84521484   790.71942139   510.33636475  1112.28381348   128.23597717
   535.42193604   194.64813232   930.50213623  1130.33435059   617.28167725]",17.8903446198,2,2.0
39,"[  790.71942139   510.33636475  1112.28381348   128.23597717   535.42193604
   194.64813232   930.50213623  1130.33435059   617.28167725   828.72930908]",17.6842594147,2,2.0
40,"[  510.33636475  1112.28381348   128.23597717   535.42193604   194.64813232
   930.50213623  1130.33435059   617.28167725   828.72930908   523.53717041]",17.4783153534,2,2.0
41,"[ 1112.28381348   128.23597717   535.42193604   194.64813232   930.50213623
  1130.33435059   617.28167725   828.72930908   523.53717041   920.27532959]",17.2723255157,2,2.0
42,"[  128.23597717   535.42193604   194.64813232   930.50213623  1130.33435059
   617.28167725   828.72930908   523.53717041   920.27532959  1160.55090332]",17.0663127899,2,2.0
43,"[  535.42193604   194.64813232   930.50213623  1130.33435059   617.28167725
   828.72930908   523.53717041   920.27532959  1160.55090332   785.96673584]",16.8601284027,2,2.0
44,"[  194.64813232   930.50213623  1130.33435059   617.28167725   828.72930908
   523.53717041   920.27532959  1160.55090332   785.96673584   772.84924316]",16.6540851593,2,2.0
45,"[  930.50213623  1130.33435059   617.28167725   828.72930908   523.53717041
   920.27532959  1160.55090332   785.96673584   772.84924316   776.51104736]",16.4484672546,2,2.0
46,"[ 1130.33435059   617.28167725   828.72930908   523.53717041   920.27532959
  1160.55090332   785.96673584   772.84924316   776.51104736   722.11450195]",16.2430057526,2,2.0
47,"[  617.28167725   828.72930908   523.53717041   920.27532959  1160.55090332
   785.96673584   772.84924316   776.51104736   722.11450195   299.48791504]",16.0375022888,2,2.0
48,"[  828.72930908   523.53717041   920.27532959  1160.55090332   785.96673584
   772.84924316   776.51104736   722.11450195   299.48791504   567.38336182]",15.8319711685,2,2.0
49,"[  523.53717041   920.27532959  1160.55090332   785.96673584   772.84924316
   776.51104736   722.11450195   299.48791504   567.38336182   311.30502319]",15.6265649796,2,2.0
