,activation,dist,id,vel
38,"[ 3686.28271484  2473.45800781   414.37771606   298.51477051   497.45455933
   716.17266846   400.64151001   383.54388428   243.21720886   224.07844543]",12.9268712997,0,2.0
39,"[ 2473.45800781   414.37771606   298.51477051   497.45455933   716.17266846
   400.64151001   383.54388428   243.21720886   224.07844543   409.7076416 ]",12.5204315186,0,2.0
40,"[ 414.37771606  298.51477051  497.45455933  716.17266846  400.64151001
  383.54388428  243.21720886  224.07844543  409.7076416   384.10159302]",12.1774587631,0,2.0
41,"[ 298.51477051  497.45455933  716.17266846  400.64151001  383.54388428
  243.21720886  224.07844543  409.7076416   384.10159302  461.15710449]",11.8510293961,0,2.0
42,"[ 497.45455933  716.17266846  400.64151001  383.54388428  243.21720886
  224.07844543  409.7076416   384.10159302  461.15710449  471.37609863]",11.4999914169,0,2.0
43,"[ 716.17266846  400.64151001  383.54388428  243.21720886  224.07844543
  409.7076416   384.10159302  461.15710449  471.37609863  316.56149292]",11.0918207169,0,2.0
44,"[ 400.64151001  383.54388428  243.21720886  224.07844543  409.7076416
  384.10159302  461.15710449  471.37609863  316.56149292  402.68746948]",10.7488660812,0,2.0
45,"[ 383.54388428  243.21720886  224.07844543  409.7076416   384.10159302
  461.15710449  471.37609863  316.56149292  402.68746948  596.33825684]",10.422533989,0,2.0
46,"[ 243.21720886  224.07844543  409.7076416   384.10159302  461.15710449
  471.37609863  316.56149292  402.68746948  596.33825684  338.11129761]",10.0154600143,0,2.0
47,"[ 224.07844543  409.7076416   384.10159302  461.15710449  471.37609863
  316.56149292  402.68746948  596.33825684  338.11129761  759.68859863]",9.66495895386,0,2.0
48,"[ 409.7076416   384.10159302  461.15710449  471.37609863  316.56149292
  402.68746948  596.33825684  338.11129761  759.68859863  399.55410767]",9.32165336609,0,2.0
49,"[ 384.10159302  461.15710449  471.37609863  316.56149292  402.68746948
  596.33825684  338.11129761  759.68859863  399.55410767  324.2562561 ]",8.91385364532,0,2.0
50,"[ 461.15710449  471.37609863  316.56149292  402.68746948  596.33825684
  338.11129761  759.68859863  399.55410767  324.2562561   588.89068604]",8.58904361725,0,2.0
51,"[ 471.37609863  316.56149292  402.68746948  596.33825684  338.11129761
  759.68859863  399.55410767  324.2562561   588.89068604  461.60055542]",8.24056243896,0,2.0
52,"[ 316.56149292  402.68746948  596.33825684  338.11129761  759.68859863
  399.55410767  324.2562561   588.89068604  461.60055542  492.88571167]",7.90024423599,0,2.0
53,"[ 402.68746948  596.33825684  338.11129761  759.68859863  399.55410767
  324.2562561   588.89068604  461.60055542  492.88571167  436.80639648]",7.57581424713,0,2.0
54,"[  596.33825684   338.11129761   759.68859863   399.55410767   324.2562561
   588.89068604   461.60055542   492.88571167   436.80639648  7381.06640625]",7.22672986984,0,2.0
55,"[  338.11129761   759.68859863   399.55410767   324.2562561    588.89068604
   461.60055542   492.88571167   436.80639648  7381.06640625  4402.765625  ]",6.82026386261,0,2.0
56,"[  759.68859863   399.55410767   324.2562561    588.89068604   461.60055542
   492.88571167   436.80639648  7381.06640625  4402.765625    8639.23730469]",6.47927570343,0,2.0
57,"[  399.55410767   324.2562561    588.89068604   461.60055542   492.88571167
   436.80639648  7381.06640625  4402.765625    8639.23730469  4108.69287109]",6.07375001907,0,2.0
58,"[  324.2562561    588.89068604   461.60055542   492.88571167   436.80639648
  7381.06640625  4402.765625    8639.23730469  4108.69287109  2689.5144043 ]",5.74978637695,0,2.0
59,"[  588.89068604   461.60055542   492.88571167   436.80639648  7381.06640625
  4402.765625    8639.23730469  4108.69287109  2689.5144043   2841.26416016]",5.40188694,0,2.0
60,"[  461.60055542   492.88571167   436.80639648  7381.06640625  4402.765625
  8639.23730469  4108.69287109  2689.5144043   2841.26416016  3631.43920898]",5.06228208542,0,2.0
61,"[  492.88571167   436.80639648  7381.06640625  4402.765625    8639.23730469
  4108.69287109  2689.5144043   2841.26416016  3631.43920898  2699.77734375]",4.65812110901,0,2.0
62,"[  436.80639648  7381.06640625  4402.765625    8639.23730469  4108.69287109
  2689.5144043   2841.26416016  3631.43920898  2699.77734375  1706.02355957]",4.33381557465,0,2.0
63,"[ 7381.06640625  4402.765625    8639.23730469  4108.69287109  2689.5144043
  2841.26416016  3631.43920898  2699.77734375  1706.02355957  1439.63708496]",3.98542690277,0,2.0
