,activation,dist,id,vel
54,"[ 1019.23376465  2127.59594727  1725.46533203  1355.85827637  1319.27893066
  1406.68432617  2728.39550781  1772.8079834   1730.85498047   763.49768066]",13.6623754501,2,2.0
55,"[ 2127.59594727  1725.46533203  1355.85827637  1319.27893066  1406.68432617
  2728.39550781  1772.8079834   1730.85498047   763.49768066  1615.94262695]",13.4512357712,2,2.0
56,"[ 1725.46533203  1355.85827637  1319.27893066  1406.68432617  2728.39550781
  1772.8079834   1730.85498047   763.49768066  1615.94262695  2048.62329102]",13.1733608246,2,2.0
57,"[ 1355.85827637  1319.27893066  1406.68432617  2728.39550781  1772.8079834
  1730.85498047   763.49768066  1615.94262695  2048.62329102  1497.55603027]",12.9629974365,2,2.0
58,"[ 1319.27893066  1406.68432617  2728.39550781  1772.8079834   1730.85498047
   763.49768066  1615.94262695  2048.62329102  1497.55603027  1185.29138184]",12.7545480728,2,2.0
59,"[ 1406.68432617  2728.39550781  1772.8079834   1730.85498047   763.49768066
  1615.94262695  2048.62329102  1497.55603027  1185.29138184  1916.51525879]",12.5478477478,2,2.0
60,"[ 2728.39550781  1772.8079834   1730.85498047   763.49768066  1615.94262695
  2048.62329102  1497.55603027  1185.29138184  1916.51525879  1634.80627441]",12.3368005753,2,2.0
61,"[ 1772.8079834   1730.85498047   763.49768066  1615.94262695  2048.62329102
  1497.55603027  1185.29138184  1916.51525879  1634.80627441  1888.21459961]",12.0684499741,2,2.0
62,"[ 1730.85498047   763.49768066  1615.94262695  2048.62329102  1497.55603027
  1185.29138184  1916.51525879  1634.80627441  1888.21459961  2260.54589844]",11.8562107086,2,2.0
63,"[  763.49768066  1615.94262695  2048.62329102  1497.55603027  1185.29138184
  1916.51525879  1634.80627441  1888.21459961  2260.54589844  2009.05041504]",11.6458721161,2,2.0
64,"[ 1615.94262695  2048.62329102  1497.55603027  1185.29138184  1916.51525879
  1634.80627441  1888.21459961  2260.54589844  2009.05041504  1477.97119141]",11.3486471176,2,2.0
65,"[ 2048.62329102  1497.55603027  1185.29138184  1916.51525879  1634.80627441
  1888.21459961  2260.54589844  2009.05041504  1477.97119141  1700.93811035]",11.1368713379,2,2.0
66,"[ 1497.55603027  1185.29138184  1916.51525879  1634.80627441  1888.21459961
  2260.54589844  2009.05041504  1477.97119141  1700.93811035  1590.04064941]",10.9242086411,2,2.0
67,"[ 1185.29138184  1916.51525879  1634.80627441  1888.21459961  2260.54589844
  2009.05041504  1477.97119141  1700.93811035  1590.04064941  1666.81518555]",10.6440906525,2,2.0
