,activation,dist,id,vel
36,"[ 588.41033936  389.42791748  319.75421143  361.2253418   565.71148682
  108.83946991  367.06253052  592.96740723  986.15490723  757.83105469]",19.3495635986,1,2.0
37,"[ 389.42791748  319.75421143  361.2253418   565.71148682  108.83946991
  367.06253052  592.96740723  986.15490723  757.83105469  522.64996338]",19.1488647461,1,2.0
38,"[ 319.75421143  361.2253418   565.71148682  108.83946991  367.06253052
  592.96740723  986.15490723  757.83105469  522.64996338  326.3727417 ]",18.9474563599,1,2.0
39,"[ 361.2253418   565.71148682  108.83946991  367.06253052  592.96740723
  986.15490723  757.83105469  522.64996338  326.3727417   256.92996216]",18.7487983704,1,2.0
40,"[ 565.71148682  108.83946991  367.06253052  592.96740723  986.15490723
  757.83105469  522.64996338  326.3727417   256.92996216  843.33178711]",18.3509254456,1,2.0
41,"[ 108.83946991  367.06253052  592.96740723  986.15490723  757.83105469
  522.64996338  326.3727417   256.92996216  843.33178711  290.31164551]",18.151058197,1,2.0
42,"[ 367.06253052  592.96740723  986.15490723  757.83105469  522.64996338
  326.3727417   256.92996216  843.33178711  290.31164551  604.21264648]",17.9536838531,1,2.0
43,"[ 592.96740723  986.15490723  757.83105469  522.64996338  326.3727417
  256.92996216  843.33178711  290.31164551  604.21264648  297.17694092]",17.7539138794,1,2.0
44,"[ 986.15490723  757.83105469  522.64996338  326.3727417   256.92996216
  843.33178711  290.31164551  604.21264648  297.17694092   89.2903595 ]",17.5558242798,1,2.0
45,"[  757.83105469   522.64996338   326.3727417    256.92996216   843.33178711
   290.31164551   604.21264648   297.17694092    89.2903595   1104.58825684]",17.3556518555,1,2.0
46,"[  522.64996338   326.3727417    256.92996216   843.33178711   290.31164551
   604.21264648   297.17694092    89.2903595   1104.58825684   290.8079834 ]",17.1574420929,1,2.0
47,"[  326.3727417    256.92996216   843.33178711   290.31164551   604.21264648
   297.17694092    89.2903595   1104.58825684   290.8079834    660.39923096]",16.9578895569,1,2.0
48,"[  256.92996216   843.33178711   290.31164551   604.21264648   297.17694092
    89.2903595   1104.58825684   290.8079834    660.39923096   547.94207764]",16.7561950684,1,2.0
49,"[  843.33178711   290.31164551   604.21264648   297.17694092    89.2903595
  1104.58825684   290.8079834    660.39923096   547.94207764   356.28890991]",16.5539245605,1,2.0
50,"[  290.31164551   604.21264648   297.17694092    89.2903595   1104.58825684
   290.8079834    660.39923096   547.94207764   356.28890991   530.77813721]",16.3543395996,1,2.0
51,"[  604.21264648   297.17694092    89.2903595   1104.58825684   290.8079834
   660.39923096   547.94207764   356.28890991   530.77813721   309.92495728]",16.1531906128,1,2.0
52,"[  297.17694092    89.2903595   1104.58825684   290.8079834    660.39923096
   547.94207764   356.28890991   530.77813721   309.92495728   379.95889282]",15.955452919,1,2.0
53,"[   89.2903595   1104.58825684   290.8079834    660.39923096   547.94207764
   356.28890991   530.77813721   309.92495728   379.95889282   412.23635864]",15.7554225922,1,2.0
54,"[ 1104.58825684   290.8079834    660.39923096   547.94207764   356.28890991
   530.77813721   309.92495728   379.95889282   412.23635864   110.77397156]",15.5590276718,1,2.0
55,"[ 290.8079834   660.39923096  547.94207764  356.28890991  530.77813721
  309.92495728  379.95889282  412.23635864  110.77397156  261.91552734]",15.3600168228,1,2.0
56,"[ 660.39923096  547.94207764  356.28890991  530.77813721  309.92495728
  379.95889282  412.23635864  110.77397156  261.91552734  705.39910889]",15.1635484695,1,2.0
57,"[ 547.94207764  356.28890991  530.77813721  309.92495728  379.95889282
  412.23635864  110.77397156  261.91552734  705.39910889  574.52459717]",14.9646854401,1,2.0
58,"[ 356.28890991  530.77813721  309.92495728  379.95889282  412.23635864
  110.77397156  261.91552734  705.39910889  574.52459717  970.08886719]",14.768321991,1,2.0
59,"[ 530.77813721  309.92495728  379.95889282  412.23635864  110.77397156
  261.91552734  705.39910889  574.52459717  970.08886719  631.28344727]",14.5699319839,1,2.0
60,"[ 309.92495728  379.95889282  412.23635864  110.77397156  261.91552734
  705.39910889  574.52459717  970.08886719  631.28344727  -24.13381386]",14.3727531433,1,2.0
61,"[ 379.95889282  412.23635864  110.77397156  261.91552734  705.39910889
  574.52459717  970.08886719  631.28344727  -24.13381386  187.24591064]",14.173956871,1,2.0
62,"[ 412.23635864  110.77397156  261.91552734  705.39910889  574.52459717
  970.08886719  631.28344727  -24.13381386  187.24591064  583.17755127]",13.9730510712,1,2.0
63,"[ 110.77397156  261.91552734  705.39910889  574.52459717  970.08886719
  631.28344727  -24.13381386  187.24591064  583.17755127  296.13369751]",13.7715196609,1,2.0
64,"[ 261.91552734  705.39910889  574.52459717  970.08886719  631.28344727
  -24.13381386  187.24591064  583.17755127  296.13369751  433.47653198]",13.572892189,1,2.0
65,"[ 705.39910889  574.52459717  970.08886719  631.28344727  -24.13381386
  187.24591064  583.17755127  296.13369751  433.47653198  155.10177612]",13.3177671432,1,2.0
66,"[ 574.52459717  970.08886719  631.28344727  -24.13381386  187.24591064
  583.17755127  296.13369751  433.47653198  155.10177612  840.81903076]",12.9755744934,1,2.0
67,"[ 970.08886719  631.28344727  -24.13381386  187.24591064  583.17755127
  296.13369751  433.47653198  155.10177612  840.81903076  672.61303711]",12.7789077759,1,2.0
68,"[ 631.28344727  -24.13381386  187.24591064  583.17755127  296.13369751
  433.47653198  155.10177612  840.81903076  672.61303711  380.69692993]",12.5802164078,1,2.0
69,"[ -24.13381386  187.24591064  583.17755127  296.13369751  433.47653198
  155.10177612  840.81903076  672.61303711  380.69692993 -380.21868896]",12.384311676,1,2.0
