,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
20,"[ 168.4250946    99.90246582   42.38584137   86.18010712   60.41757965
   17.96448135  369.45755005  312.15933228   10.32289028  333.04669189]","[  22.94886398   38.28952026    9.42598438   63.35013199    2.1231575
   26.17346191  113.12888336  168.49830627    5.63500738   84.17902374]","[  0.92194217   0.08866602   6.15704012   1.30353463   8.39358521
   3.91302705  10.93855953   7.92960358   4.9876523    5.0958066 ]","[ 41.65027237  65.29619598  32.66614151  38.68466568  70.27176666
  49.68507385   6.24580908  85.51107025  48.0970993   63.20854568]","[ 145.91593933  136.60850525  295.73153687   47.32132339  284.18270874
   60.68913651    7.07908726  321.64260864  173.74978638  173.4866333 ]",21.6301002502,0,2.0
21,"[  99.90246582   42.38584137   86.18010712   60.41757965   17.96448135
  369.45755005  312.15933228   10.32289028  333.04669189  108.25327301]","[  38.28952026    9.42598438   63.35013199    2.1231575    26.17346191
  113.12888336  168.49830627    5.63500738   84.17902374   44.34126282]","[  0.08866602   6.15704012   1.30353463   8.39358521   3.91302705
  10.93855953   7.92960358   4.9876523    5.0958066    3.12240744]","[ 65.29619598  32.66614151  38.68466568  70.27176666  49.68507385
   6.24580908  85.51107025  48.0970993   63.20854568  46.49869156]","[ 136.60850525  295.73153687   47.32132339  284.18270874   60.68913651
    7.07908726  321.64260864  173.74978638  173.4866333   129.56034851]",21.4289054871,0,2.0
22,"[  42.38584137   86.18010712   60.41757965   17.96448135  369.45755005
  312.15933228   10.32289028  333.04669189  108.25327301   40.07665253]","[  9.42598438e+00   6.33501320e+01   2.12315750e+00   2.61734619e+01
   1.13128883e+02   1.68498306e+02   5.63500738e+00   8.41790237e+01
   4.43412628e+01   1.05989106e-01]","[  6.15704012   1.30353463   8.39358521   3.91302705  10.93855953
   7.92960358   4.9876523    5.0958066    3.12240744   3.14469647]","[ 32.66614151  38.68466568  70.27176666  49.68507385   6.24580908
  85.51107025  48.0970993   63.20854568  46.49869156  98.68228912]","[ 295.73153687   47.32132339  284.18270874   60.68913651    7.07908726
  321.64260864  173.74978638  173.4866333   129.56034851  296.47415161]",21.2277755737,0,2.0
23,"[  86.18010712   60.41757965   17.96448135  369.45755005  312.15933228
   10.32289028  333.04669189  108.25327301   40.07665253   52.92819977]","[  6.33501320e+01   2.12315750e+00   2.61734619e+01   1.13128883e+02
   1.68498306e+02   5.63500738e+00   8.41790237e+01   4.43412628e+01
   1.05989106e-01   2.34625874e+01]","[  1.30353463   8.39358521   3.91302705  10.93855953   7.92960358
   4.9876523    5.0958066    3.12240744   3.14469647   2.70858836]","[ 38.68466568  70.27176666  49.68507385   6.24580908  85.51107025
  48.0970993   63.20854568  46.49869156  98.68228912  27.90072441]","[  47.32132339  284.18270874   60.68913651    7.07908726  321.64260864
  173.74978638  173.4866333   129.56034851  296.47415161  180.46205139]",21.0248603821,0,2.0
24,"[  60.41757965   17.96448135  369.45755005  312.15933228   10.32289028
  333.04669189  108.25327301   40.07665253   52.92819977    2.26699519]","[  2.12315750e+00   2.61734619e+01   1.13128883e+02   1.68498306e+02
   5.63500738e+00   8.41790237e+01   4.43412628e+01   1.05989106e-01
   2.34625874e+01   1.52947159e+01]","[  8.39358521   3.91302705  10.93855953   7.92960358   4.9876523
   5.0958066    3.12240744   3.14469647   2.70858836   2.42775941]","[ 70.27176666  49.68507385   6.24580908  85.51107025  48.0970993
  63.20854568  46.49869156  98.68228912  27.90072441  51.17059708]","[ 284.18270874   60.68913651    7.07908726  321.64260864  173.74978638
  173.4866333   129.56034851  296.47415161  180.46205139  238.59989929]",20.822057724,0,2.0
25,"[  17.96448135  369.45755005  312.15933228   10.32289028  333.04669189
  108.25327301   40.07665253   52.92819977    2.26699519  166.22955322]","[  2.61734619e+01   1.13128883e+02   1.68498306e+02   5.63500738e+00
   8.41790237e+01   4.43412628e+01   1.05989106e-01   2.34625874e+01
   1.52947159e+01   7.38910217e+01]","[  3.91302705  10.93855953   7.92960358   4.9876523    5.0958066
   3.12240744   3.14469647   2.70858836   2.42775941   3.98804641]","[ 49.68507385   6.24580908  85.51107025  48.0970993   63.20854568
  46.49869156  98.68228912  27.90072441  51.17059708  49.73177719]","[  60.68913651    7.07908726  321.64260864  173.74978638  173.4866333
  129.56034851  296.47415161  180.46205139  238.59989929  154.890625  ]",20.6178703308,0,2.0
26,"[ 369.45755005  312.15933228   10.32289028  333.04669189  108.25327301
   40.07665253   52.92819977    2.26699519  166.22955322  160.21974182]","[  1.13128883e+02   1.68498306e+02   5.63500738e+00   8.41790237e+01
   4.43412628e+01   1.05989106e-01   2.34625874e+01   1.52947159e+01
   7.38910217e+01   1.88198318e+01]","[ 10.93855953   7.92960358   4.9876523    5.0958066    3.12240744
   3.14469647   2.70858836   2.42775941   3.98804641   8.6942606 ]","[   6.24580908   85.51107025   48.0970993    63.20854568   46.49869156
   98.68228912   27.90072441   51.17059708   49.73177719  129.54022217]","[   7.07908726  321.64260864  173.74978638  173.4866333   129.56034851
  296.47415161  180.46205139  238.59989929  154.890625    271.03369141]",20.4139919281,0,2.0
27,"[ 312.15933228   10.32289028  333.04669189  108.25327301   40.07665253
   52.92819977    2.26699519  166.22955322  160.21974182  674.88720703]","[  1.68498306e+02   5.63500738e+00   8.41790237e+01   4.43412628e+01
   1.05989106e-01   2.34625874e+01   1.52947159e+01   7.38910217e+01
   1.88198318e+01   1.92023422e+02]","[ 7.92960358  4.9876523   5.0958066   3.12240744  3.14469647  2.70858836
  2.42775941  3.98804641  8.6942606   9.5605917 ]","[  85.51107025   48.0970993    63.20854568   46.49869156   98.68228912
   27.90072441   51.17059708   49.73177719  129.54022217  106.9485321 ]","[ 321.64260864  173.74978638  173.4866333   129.56034851  296.47415161
  180.46205139  238.59989929  154.890625    271.03369141  240.52249146]",20.0042419434,0,2.0
28,"[  10.32289028  333.04669189  108.25327301   40.07665253   52.92819977
    2.26699519  166.22955322  160.21974182  674.88720703   27.60219765]","[  5.63500738e+00   8.41790237e+01   4.43412628e+01   1.05989106e-01
   2.34625874e+01   1.52947159e+01   7.38910217e+01   1.88198318e+01
   1.92023422e+02   6.17690182e+00]","[ 4.9876523   5.0958066   3.12240744  3.14469647  2.70858836  2.42775941
  3.98804641  8.6942606   9.5605917   0.16473415]","[  48.0970993    63.20854568   46.49869156   98.68228912   27.90072441
   51.17059708   49.73177719  129.54022217  106.9485321     8.67289829]","[ 173.74978638  173.4866333   129.56034851  296.47415161  180.46205139
  238.59989929  154.890625    271.03369141  240.52249146  105.70072174]",19.7986850739,0,2.0
29,"[ 333.04669189  108.25327301   40.07665253   52.92819977    2.26699519
  166.22955322  160.21974182  674.88720703   27.60219765  209.50947571]","[  8.41790237e+01   4.43412628e+01   1.05989106e-01   2.34625874e+01
   1.52947159e+01   7.38910217e+01   1.88198318e+01   1.92023422e+02
   6.17690182e+00   2.17574158e+01]","[ 5.0958066   3.12240744  3.14469647  2.70858836  2.42775941  3.98804641
  8.6942606   9.5605917   0.16473415  8.44404697]","[  63.20854568   46.49869156   98.68228912   27.90072441   51.17059708
   49.73177719  129.54022217  106.9485321     8.67289829   63.67493057]","[ 173.4866333   129.56034851  296.47415161  180.46205139  238.59989929
  154.890625    271.03369141  240.52249146  105.70072174   79.15184021]",19.5930843353,0,2.0
