,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
27,"[ 121.18392181   91.90286255  136.20402527   96.09638977  179.88220215
  110.77629089  147.92800903  133.63816833  149.54740906  117.09048462]","[ 23.59028435  13.29550457  30.01484489  21.98806572  45.83184433
  36.13732147  10.65993309  26.24945259  21.76144981  34.18715286]","[ 2.38593268  1.93953156  4.86660814  3.60950661  1.14445269  5.92341661
  2.48119903  0.86432344  0.87891388  2.68433285]","[ 30.50286293  22.02094269  67.57126617  23.82976913  21.48709679
  91.86013031  68.96103668  16.80751801  10.25077152  76.14884949]","[  50.10718536  251.10998535  219.22903442  197.01611328  138.87608337
  187.56907654  367.2449646   103.17228699   92.9672699   263.44903564]",20.7842998505,0,2.0
28,"[  91.90286255  136.20402527   96.09638977  179.88220215  110.77629089
  147.92800903  133.63816833  149.54740906  117.09048462    5.95772505]","[ 13.29550457  30.01484489  21.98806572  45.83184433  36.13732147
  10.65993309  26.24945259  21.76144981  34.18715286  30.03547478]","[ 1.93953156  4.86660814  3.60950661  1.14445269  5.92341661  2.48119903
  0.86432344  0.87891388  2.68433285  2.66856647]","[ 22.02094269  67.57126617  23.82976913  21.48709679  91.86013031
  68.96103668  16.80751801  10.25077152  76.14884949  78.69709015]","[ 251.10998535  219.22903442  197.01611328  138.87608337  187.56907654
  367.2449646   103.17228699   92.9672699   263.44903564  186.79710388]",20.5810222626,0,2.0
29,"[ 136.20402527   96.09638977  179.88220215  110.77629089  147.92800903
  133.63816833  149.54740906  117.09048462    5.95772505  224.037323  ]","[ 30.01484489  21.98806572  45.83184433  36.13732147  10.65993309
  26.24945259  21.76144981  34.18715286  30.03547478  27.7054348 ]","[ 4.86660814  3.60950661  1.14445269  5.92341661  2.48119903  0.86432344
  0.87891388  2.68433285  2.66856647  1.07148886]","[ 67.57126617  23.82976913  21.48709679  91.86013031  68.96103668
  16.80751801  10.25077152  76.14884949  78.69709015  21.37071228]","[ 219.22903442  197.01611328  138.87608337  187.56907654  367.2449646
  103.17228699   92.9672699   263.44903564  186.79710388   80.13449097]",20.3770885468,0,2.0
30,"[  96.09638977  179.88220215  110.77629089  147.92800903  133.63816833
  149.54740906  117.09048462    5.95772505  224.037323      9.54764938]","[ 21.98806572  45.83184433  36.13732147  10.65993309  26.24945259
  21.76144981  34.18715286  30.03547478  27.7054348    6.91798687]","[ 3.60950661  1.14445269  5.92341661  2.48119903  0.86432344  0.87891388
  2.68433285  2.66856647  1.07148886  1.36473846]","[ 23.82976913  21.48709679  91.86013031  68.96103668  16.80751801
  10.25077152  76.14884949  78.69709015  21.37071228  19.52473259]","[ 197.01611328  138.87608337  187.56907654  367.2449646   103.17228699
   92.9672699   263.44903564  186.79710388   80.13449097  104.81002045]",20.1892166138,0,2.0
31,"[ 179.88220215  110.77629089  147.92800903  133.63816833  149.54740906
  117.09048462    5.95772505  224.037323      9.54764938  139.00198364]","[ 45.83184433  36.13732147  10.65993309  26.24945259  21.76144981
  34.18715286  30.03547478  27.7054348    6.91798687  18.69359779]","[ 1.14445269  5.92341661  2.48119903  0.86432344  0.87891388  2.68433285
  2.66856647  1.07148886  1.36473846  2.22421408]","[ 21.48709679  91.86013031  68.96103668  16.80751801  10.25077152
  76.14884949  78.69709015  21.37071228  19.52473259  86.17149353]","[ 138.87608337  187.56907654  367.2449646   103.17228699   92.9672699
  263.44903564  186.79710388   80.13449097  104.81002045  210.02670288]",19.9678707123,0,2.0
32,"[ 110.77629089  147.92800903  133.63816833  149.54740906  117.09048462
    5.95772505  224.037323      9.54764938  139.00198364   43.40242004]","[ 36.13732147  10.65993309  26.24945259  21.76144981  34.18715286
  30.03547478  27.7054348    6.91798687  18.69359779  20.19660187]","[ 5.92341661  2.48119903  0.86432344  0.87891388  2.68433285  2.66856647
  1.07148886  1.36473846  2.22421408  4.22483921]","[ 91.86013031  68.96103668  16.80751801  10.25077152  76.14884949
  78.69709015  21.37071228  19.52473259  86.17149353  66.38878632]","[ 187.56907654  367.2449646   103.17228699   92.9672699   263.44903564
  186.79710388   80.13449097  104.81002045  210.02670288  215.59371948]",19.762090683,0,2.0
33,"[ 147.92800903  133.63816833  149.54740906  117.09048462    5.95772505
  224.037323      9.54764938  139.00198364   43.40242004   78.98222351]","[ 10.65993309  26.24945259  21.76144981  34.18715286  30.03547478
  27.7054348    6.91798687  18.69359779  20.19660187   3.361413  ]","[ 2.48119903  0.86432344  0.87891388  2.68433285  2.66856647  1.07148886
  1.36473846  2.22421408  4.22483921  2.12787151]","[ 68.96103668  16.80751801  10.25077152  76.14884949  78.69709015
  21.37071228  19.52473259  86.17149353  66.38878632  48.56940079]","[ 367.2449646   103.17228699   92.9672699   263.44903564  186.79710388
   80.13449097  104.81002045  210.02670288  215.59371948  165.70114136]",19.5565376282,0,2.0
34,"[ 133.63816833  149.54740906  117.09048462    5.95772505  224.037323
    9.54764938  139.00198364   43.40242004   78.98222351   11.75250912]","[ 26.24945259  21.76144981  34.18715286  30.03547478  27.7054348
   6.91798687  18.69359779  20.19660187   3.361413    51.2474823 ]","[ 0.86432344  0.87891388  2.68433285  2.66856647  1.07148886  1.36473846
  2.22421408  4.22483921  2.12787151  4.9643178 ]","[ 16.80751801  10.25077152  76.14884949  78.69709015  21.37071228
  19.52473259  86.17149353  66.38878632  48.56940079  17.53724289]","[ 103.17228699   92.9672699   263.44903564  186.79710388   80.13449097
  104.81002045  210.02670288  215.59371948  165.70114136  164.16215515]",19.3505020142,0,2.0
35,"[ 149.54740906  117.09048462    5.95772505  224.037323      9.54764938
  139.00198364   43.40242004   78.98222351   11.75250912  204.37173462]","[ 21.76144981  34.18715286  30.03547478  27.7054348    6.91798687
  18.69359779  20.19660187   3.361413    51.2474823   31.68221474]","[ 0.87891388  2.68433285  2.66856647  1.07148886  1.36473846  2.22421408
  4.22483921  2.12787151  4.9643178   1.75875807]","[  10.25077152   76.14884949   78.69709015   21.37071228   19.52473259
   86.17149353   66.38878632   48.56940079   17.53724289  152.75881958]","[  92.9672699   263.44903564  186.79710388   80.13449097  104.81002045
  210.02670288  215.59371948  165.70114136  164.16215515  349.49368286]",19.1613273621,0,2.0
36,"[ 117.09048462    5.95772505  224.037323      9.54764938  139.00198364
   43.40242004   78.98222351   11.75250912  204.37173462  147.7840271 ]","[ 34.18715286  30.03547478  27.7054348    6.91798687  18.69359779
  20.19660187   3.361413    51.2474823   31.68221474  54.13411713]","[ 2.68433285  2.66856647  1.07148886  1.36473846  2.22421408  4.22483921
  2.12787151  4.9643178   1.75875807  5.23056173]","[  76.14884949   78.69709015   21.37071228   19.52473259   86.17149353
   66.38878632   48.56940079   17.53724289  152.75881958   37.50170898]","[ 263.44903564  186.79710388   80.13449097  104.81002045  210.02670288
  215.59371948  165.70114136  164.16215515  349.49368286   90.08621979]",18.9391231537,0,2.0
37,"[   5.95772505  224.037323      9.54764938  139.00198364   43.40242004
   78.98222351   11.75250912  204.37173462  147.7840271   155.09973145]","[ 30.03547478  27.7054348    6.91798687  18.69359779  20.19660187
   3.361413    51.2474823   31.68221474  54.13411713  30.75564766]","[ 2.66856647  1.07148886  1.36473846  2.22421408  4.22483921  2.12787151
  4.9643178   1.75875807  5.23056173  3.61638689]","[  78.69709015   21.37071228   19.52473259   86.17149353   66.38878632
   48.56940079   17.53724289  152.75881958   37.50170898   26.69881058]","[ 186.79710388   80.13449097  104.81002045  210.02670288  215.59371948
  165.70114136  164.16215515  349.49368286   90.08621979  229.27479553]",18.7335338593,0,2.0
