,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
23,"[  33.28441238   20.46942711  137.265625    379.97433472   34.22838593
  193.79702759  155.91639709   60.6105957    94.61593628   99.37645721]","[ 31.98585892  30.26542282  26.87039948  45.88703918   4.07341576
  25.44500542  45.22745895  33.27501678  10.54752827  30.97192764]","[ 0.97184783  1.33339727  0.7304734   0.69842297  0.48248062  1.1632421
  1.30498874  0.97605586  0.31049666  0.56742722]","[  39.51027679   22.76814079   54.45896149   18.89150047   82.41326904
  114.57926178   78.00154877   26.50575066   49.29368591   73.34335327]","[ 111.33639526  220.11785889  295.28173828  132.32116699  305.13504028
  309.00976562  203.47827148  273.76306152  420.50134277  344.86038208]",21.2114810944,0,2.0
24,"[  20.46942711  137.265625    379.97433472   34.22838593  193.79702759
  155.91639709   60.6105957    94.61593628   99.37645721   61.93706894]","[ 30.26542282  26.87039948  45.88703918   4.07341576  25.44500542
  45.22745895  33.27501678  10.54752827  30.97192764  18.71127319]","[ 1.33339727  0.7304734   0.69842297  0.48248062  1.1632421   1.30498874
  0.97605586  0.31049666  0.56742722  0.5986107 ]","[  22.76814079   54.45896149   18.89150047   82.41326904  114.57926178
   78.00154877   26.50575066   49.29368591   73.34335327   15.70486546]","[ 220.11785889  295.28173828  132.32116699  305.13504028  309.00976562
  203.47827148  273.76306152  420.50134277  344.86038208  136.18041992]",21.0048522949,0,2.0
25,"[ 137.265625    379.97433472   34.22838593  193.79702759  155.91639709
   60.6105957    94.61593628   99.37645721   61.93706894  240.68145752]","[ 26.87039948  45.88703918   4.07341576  25.44500542  45.22745895
  33.27501678  10.54752827  30.97192764  18.71127319  25.13847733]","[ 0.7304734   0.69842297  0.48248062  1.1632421   1.30498874  0.97605586
  0.31049666  0.56742722  0.5986107   1.03560495]","[  54.45896149   18.89150047   82.41326904  114.57926178   78.00154877
   26.50575066   49.29368591   73.34335327   15.70486546   43.01127243]","[ 295.28173828  132.32116699  305.13504028  309.00976562  203.47827148
  273.76306152  420.50134277  344.86038208  136.18041992  292.18600464]",20.7140274048,0,2.0
26,"[ 379.97433472   34.22838593  193.79702759  155.91639709   60.6105957
   94.61593628   99.37645721   61.93706894  240.68145752  555.39404297]","[ 45.88703918   4.07341576  25.44500542  45.22745895  33.27501678
  10.54752827  30.97192764  18.71127319  25.13847733  82.02332306]","[ 0.69842297  0.48248062  1.1632421   1.30498874  0.97605586  0.31049666
  0.56742722  0.5986107   1.03560495  1.13823617]","[  18.89150047   82.41326904  114.57926178   78.00154877   26.50575066
   49.29368591   73.34335327   15.70486546   43.01127243   33.69406891]","[ 132.32116699  305.13504028  309.00976562  203.47827148  273.76306152
  420.50134277  344.86038208  136.18041992  292.18600464  358.7130127 ]",20.2950401306,0,2.0
27,"[  34.22838593  193.79702759  155.91639709   60.6105957    94.61593628
   99.37645721   61.93706894  240.68145752  555.39404297   60.12566757]","[  4.07341576  25.44500542  45.22745895  33.27501678  10.54752827
  30.97192764  18.71127319  25.13847733  82.02332306  57.45872116]","[ 0.48248062  1.1632421   1.30498874  0.97605586  0.31049666  0.56742722
  0.5986107   1.03560495  1.13823617  1.35289752]","[  82.41326904  114.57926178   78.00154877   26.50575066   49.29368591
   73.34335327   15.70486546   43.01127243   33.69406891    3.2555275 ]","[ 305.13504028  309.00976562  203.47827148  273.76306152  420.50134277
  344.86038208  136.18041992  292.18600464  358.7130127    76.99959564]",20.0845985413,0,2.0
28,"[ 193.79702759  155.91639709   60.6105957    94.61593628   99.37645721
   61.93706894  240.68145752  555.39404297   60.12566757  150.2648468 ]","[ 25.44500542  45.22745895  33.27501678  10.54752827  30.97192764
  18.71127319  25.13847733  82.02332306  57.45872116  30.73200989]","[ 1.1632421   1.30498874  0.97605586  0.31049666  0.56742722  0.5986107
  1.03560495  1.13823617  1.35289752  1.05225468]","[ 114.57926178   78.00154877   26.50575066   49.29368591   73.34335327
   15.70486546   43.01127243   33.69406891    3.2555275    34.63977432]","[ 309.00976562  203.47827148  273.76306152  420.50134277  344.86038208
  136.18041992  292.18600464  358.7130127    76.99959564  209.94842529]",19.8744564056,0,2.0
29,"[ 155.91639709   60.6105957    94.61593628   99.37645721   61.93706894
  240.68145752  555.39404297   60.12566757  150.2648468   202.61778259]","[ 45.22745895  33.27501678  10.54752827  30.97192764  18.71127319
  25.13847733  82.02332306  57.45872116  30.73200989   6.72272301]","[ 1.30498874  0.97605586  0.31049666  0.56742722  0.5986107   1.03560495
  1.13823617  1.35289752  1.05225468  0.69487983]","[ 78.00154877  26.50575066  49.29368591  73.34335327  15.70486546
  43.01127243  33.69406891   3.2555275   34.63977432  70.45393372]","[ 203.47827148  273.76306152  420.50134277  344.86038208  136.18041992
  292.18600464  358.7130127    76.99959564  209.94842529  269.40063477]",19.6654319763,0,2.0
30,"[  60.6105957    94.61593628   99.37645721   61.93706894  240.68145752
  555.39404297   60.12566757  150.2648468   202.61778259   14.49112701]","[ 33.27501678  10.54752827  30.97192764  18.71127319  25.13847733
  82.02332306  57.45872116  30.73200989   6.72272301   1.51198769]","[ 0.97605586  0.31049666  0.56742722  0.5986107   1.03560495  1.13823617
  1.35289752  1.05225468  0.69487983  0.12299796]","[ 26.50575066  49.29368591  73.34335327  15.70486546  43.01127243
  33.69406891   3.2555275   34.63977432  70.45393372   4.45209599]","[ 273.76306152  420.50134277  344.86038208  136.18041992  292.18600464
  358.7130127    76.99959564  209.94842529  269.40063477  126.72899628]",19.5404243469,0,2.0
31,"[  94.61593628   99.37645721   61.93706894  240.68145752  555.39404297
   60.12566757  150.2648468   202.61778259   14.49112701    3.72159266]","[ 10.54752827  30.97192764  18.71127319  25.13847733  82.02332306
  57.45872116  30.73200989   6.72272301   1.51198769   8.54035091]","[ 0.31049666  0.56742722  0.5986107   1.03560495  1.13823617  1.35289752
  1.05225468  0.69487983  0.12299796  0.38255149]","[ 49.29368591  73.34335327  15.70486546  43.01127243  33.69406891
   3.2555275   34.63977432  70.45393372   4.45209599  40.42539597]","[ 420.50134277  344.86038208  136.18041992  292.18600464  358.7130127
   76.99959564  209.94842529  269.40063477  126.72899628  351.51541138]",19.2476234436,0,2.0
32,"[  99.37645721   61.93706894  240.68145752  555.39404297   60.12566757
  150.2648468   202.61778259   14.49112701    3.72159266   71.6803894 ]","[ 30.97192764  18.71127319  25.13847733  82.02332306  57.45872116
  30.73200989   6.72272301   1.51198769   8.54035091  34.46346283]","[ 0.56742722  0.5986107   1.03560495  1.13823617  1.35289752  1.05225468
  0.69487983  0.12299796  0.38255149  0.42198294]","[ 73.34335327  15.70486546  43.01127243  33.69406891   3.2555275
  34.63977432  70.45393372   4.45209599  40.42539597  42.01155853]","[ 344.86038208  136.18041992  292.18600464  358.7130127    76.99959564
  209.94842529  269.40063477  126.72899628  351.51541138  314.11068726]",19.0388050079,0,2.0
